fullName,born,flourished start,flourished end,died,uncertain,,,,
C. Iul. Caes. Augustus Octavianus,-63,,,19,,82,0,VALID,VALID
Caelius Aurelianus,,400,500,,,0,100,VALID,VALID
Aurelius Opillus,,-100,0,,,0,100,VALID,VALID
Marcus Aurelius,121,,,180,,59,0,VALID,VALID
Alfius Avitus,,-27,37,,,0,64,VALID,VALID
Lucius Herennius Balbus,,-56,-45,,,0,11,VALID,VALID
"Balbus, grom.",,100,300,,,0,200,VALID,VALID
Gaius Caesius Bassus,,0,100,,,0,100,VALID,VALID
Marcus Furius Bibaculus,,-103,0,,,0,103,VALID,VALID
Bruttedius Niger,,-6,31,,,0,37,VALID,VALID
Marcus Iunius Brutus [iur.],,-146,-136,,,0,10,VALID,VALID
Marcus Iunius Brutus [tyr.],,-85,-42,,,0,43,VALID,VALID
Bucolica Einsidlensia,,,,,,0,0,VALID,VALID
Caecilius Statius,-220,,,-168,,52,0,VALID,VALID
Aulus Caecina,,,,,,0,0,VALID,VALID
Marcus Caelius Rufus,-81,,,-47,,34,0,VALID,VALID
Cn. Arulenus Caelius Sabinus,,0,100,,,0,100,VALID,VALID
Gaius vel Lucius Caepasius,,-74,-70,,,0,4,VALID,VALID
Quintus Servilius Caepio,,-100,-90,,,0,10,VALID,VALID
Lucius Iulius Caesar,,-90,-43,,,0,47,VALID,VALID
Caesellius Vindex,,200,300,,,0,100,VALID,VALID
Marcus Calidius,,-64,-49,,,0,15,VALID,VALID
Lucius Calpurnius Piso Frugi,-182,,100,,,182,100,VALID,VALID
Gaius Calpurnius Piso,,-100,,-65,,-65,100,ERROR,VALID
Calpurnius Flaccus,,-100,0,,,0,100,VALID,VALID
Gaius Licinius Macer Calvus,,-100,0,,,0,100,VALID,VALID
Publius Cannutius,-106,,0,,,106,0,VALID,VALID
Flavius Caper,,,,,,0,0,VALID,VALID
Gaius Ateius Capito,,,,,,0,0,VALID,VALID
Gaius Papirius Carbo,,,,,,0,0,VALID,VALID
Gaius Papirius Carbo Arvina,,,,,,0,0,VALID,VALID
Carmen Arvale,,,,,,0,0,VALID,VALID
Carmen Devotionis,,,,,,0,0,VALID,VALID
Carmen Evocationis,,,,,,0,0,VALID,VALID
Carmen de Bello Aegyptiaco,,,,,,0,0,VALID,VALID
Aulus Cascellius,,,,,,0,0,VALID,VALID
Lucius Cassius Longinus,,,,,,0,0,VALID,VALID
Marcus Porcius Cato M.f.M.n.,,,,,,0,0,VALID,VALID
Marcus Porcius Cato Uticensis,,,,,,0,0,VALID,VALID
Q. Lutatius Catulus iunior,,,,,,0,0,VALID,VALID
Chalcidius,,,,,,0,0,VALID,VALID
Quintus Tullius Cicero,,,,,,0,0,VALID,VALID
Lucius Cincius Alimentus,,,,,,0,0,VALID,VALID
Lucius Cincius,,,,,,0,0,VALID,VALID
Gaius Helvius Cinna,,,,,,0,0,VALID,VALID
Cloatius Verus,,,,,,0,0,VALID,VALID
Clodius Tuscus,,,,,,0,0,VALID,VALID
Publius Clodius Pulcher,,,,,,0,0,VALID,VALID
Servius Clodius,,,,,,0,0,VALID,VALID
Gaius Clodius Licinus,,,,,,0,0,VALID,VALID
Lucius Coelius Antipater,,,,,,0,0,VALID,VALID
Publius Cominius,,,,,,0,0,VALID,VALID
Commentarii Augurum,,,,,,0,0,VALID,VALID
Commentarii Consulares,,,,,,0,0,VALID,VALID
Commentarius Anquisit. Sergii,,,,,,0,0,VALID,VALID
"Cornelia, mater Gracchorum",,,,,,0,0,VALID,VALID
Cornelius Severus,,,,,,0,0,VALID,VALID
Quintus Cornificius,,,,,,0,0,VALID,VALID
Cornificius Longus,,,,,,0,0,VALID,VALID
Cornificius Gallus,,,,,,0,0,VALID,VALID
Lucius Annaeus Cornutus,,,,,,0,0,VALID,VALID
Gaius Aurelius Cotta,,,,,,0,0,VALID,VALID
Lucius Licinius Crassus,,,,,,0,0,VALID,VALID
Aulus Cremutius Cordus,,,,,,0,0,VALID,VALID
Gaius Scribonius Curio avus,,,,,,0,0,VALID,VALID
Gaius Scribonius Curio pater,,,,,,0,0,VALID,VALID
Didascaliae et Argum. in Plautum,,,,,,0,0,VALID,VALID
Didascaliae et Per. in Terentium,,,,,,0,0,VALID,VALID
Publius Cornelius Dolabella,,,,,,0,0,VALID,VALID
Domitius Marsus,,,,,,0,0,VALID,VALID
Dorcatius,,,,,,0,0,VALID,VALID
Fabius Dossennus,,,,,,0,0,VALID,VALID
Marcus Duronius,,,,,,0,0,VALID,VALID
Egnatius,,,,,,0,0,VALID,VALID
Sextus (vel Spurius) Ennius,,,,,,0,0,VALID,VALID
Cornelius Epicadus,,,,,,0,0,VALID,VALID
Gaius Erucius,,,,,,0,0,VALID,VALID
Q. Fabius Maximus Servilianus,,,,,,0,0,VALID,VALID
Fabius Pictor,,,,,,0,0,VALID,VALID
Gaius Fannius,,,,,,0,0,VALID,VALID
Favorinus,,,,,,0,0,VALID,VALID
Fenestella,,,,,,0,0,VALID,VALID
Sextus Pompeius Festus,,,,,,0,0,VALID,VALID
Fragmenta Bobiensia,,,,,,0,0,VALID,VALID
Anonymi Fragmenta de Iure Fisci,,,,,,0,0,VALID,VALID
Anonymi de Differentiis [Fronto],,,,,,0,0,VALID,VALID
Aulus Furius Antias,,,,,,0,0,VALID,VALID
Cn. Cornel. Lentulus Gaetulicus,,,,,,0,0,VALID,VALID
"Gaius, iur.",,,,,,0,0,VALID,VALID
Gaius Aelius Gallus,,,,,,0,0,VALID,VALID
Gaius Cornelius Gallus,,,,,,0,0,VALID,VALID
Gaius Asinius Gallus,,,,,,0,0,VALID,VALID
Gannius,,,,,,0,0,VALID,VALID
Gavius Bassus,,,,,,0,0,VALID,VALID
Gnaeus Gellius,,,,,,0,0,VALID,VALID
Claudius Caesar Germanicus,,,,,,0,0,VALID,VALID
Gaius Servilius Glaucia,,,,,,0,0,VALID,VALID
Marcus Iunius Gracchanus,,,,,,0,0,VALID,VALID
Gaius Sempronius Gracchus,,,,,,0,0,VALID,VALID
"Gracchus, trag.",,,,,,0,0,VALID,VALID
Granius Flaccus,,,,,,0,0,VALID,VALID
Granius Licinianus,,,,,,0,0,VALID,VALID
Gaius Cassius Hemina,,,,,,0,0,VALID,VALID
Hilarius Arelatensis,,,,,,0,0,VALID,VALID
Aulus Hirtius,,,,,,0,0,VALID,VALID
Homerus Latinus,,,,,,0,0,VALID,VALID
Quintus Hortensius Hortalus,,,,,,0,0,VALID,VALID
Hostius,,,,,,0,0,VALID,VALID
Gaius Iulius Hyginus,,,,,,0,0,VALID,VALID
Hyginus Gromaticus,,,,,,0,0,VALID,VALID
Licinius Imbrex,,,,,,0,0,VALID,VALID
"Iuventius, comoed.",,,,,,0,0,VALID,VALID
Marcus Iuventius Laterensis,,,,,,0,0,VALID,VALID
Marcus Antistius Labeo,,,,,,0,0,VALID,VALID
