authorName,fullName,gender,religion
Gaius Scribonius Curio pater ,Gaius Scribonius Curio pater ,,
Galileo,Galileo,m,
Gannius ,Gannius ,,
Gavius ,Gavius Bassus ,,
Gellius,Aulus Gellius ,m,
Gellius ,Gnaeus Gellius ,,
Germanicus,Germanicus Caesar,m,
Gesta Romanorum,Gesta Romanorum,m,
Girolamo Vida,Girolamo Vida,m,
Glaucia ,Gaius Servilius Glaucia ,,
Godfrey of Winchester,Godfrey of Winchester,m,
Gracchanus ,Marcus Iunius Gracchanus ,,
"Gracchus, trag. ","Gracchus, trag. ",,
Granius Flaccus ,Granius Flaccus ,,
Granius Licinianus,Granius Licinianus,m,
Granius Licinianus ,Granius Licinianus ,,
Grattius,Grattius,m,
Grattius ,Grattius ,,
Gregory of Tours,Gregory of Tours,m,
Gregory the Great,Gregory the Great,m,
Gwinne,Gwinne,m,
Hadrianus ,Hadrianus ,,
Hemina ,Gaius Cassius Hemina ,,
Henry VII,Henry VII,m,
Herennius ,Lucius Herennius Balbus ,,
Hilarius Arelatensis ,Hilarius Arelatensis ,,
Historia Apolloni,Historia Apolloni,m,
Homerus Latinus ,Homerus Latinus ,,
Horace ,Quintus Horatius Flaccus ,,
Hortensius Hortalus ,Quintus Hortensius Hortalus ,,
Hostius ,Hostius ,,
Hugo of St. Victor,Hugo of St. Victor,m,
Hyginus,Gaius Iulius Hyginus ,m,
Hyginus Astronomus ,Hyginus Astronomus ,,
Hyginus Gromaticus ,Hyginus Gromaticus ,,
"Hyginus, myth. ","Hyginus, myth. ",,
Iacobus de Voragine,Iacobus de Voragine,m,
Isidore of Seville,Isidore of Seville,m,
"Iuventius, comoed. ","Iuventius, comoed. ",,
Janus Secundus,Janus Secundus,m,
Jerome,Jerome,m,
Jordanes,Jordanes,m,
Junillus,Junillus,m,
Justin,Justin,m,
Justinian,Iustinianus ,m,
Juvenal,Decimus Iunius Iuvenalis ,m,
Laberius ,Decimus Laberius ,,
Labienus ,Titus Labienus ,,
Lactantius,Lactantius,m,
Laelius Felix ,Laelius Felix ,,
Laelius Sapiens,Gaius Laelius Sapiens ,,
Laevius ,Laevius ,,
Landor,Landor,m,
Lanuvinus ,Luscius Lanuvinus ,,
Largus ,Scribonius Largus ,,
Lentulus Marcell. ,Cn. Cornel. Lentulus Marcell. ,,
"Lentulus, mimus ","Lentulus, mimus ",,
Lepidus Porcina ,M. Aemilius Lepidus Porcina ,,
Lhomond ,Lhomond ,m,
Licinius Imbrex ,Licinius Imbrex ,,
Licinius Macer ,Gaius Licinius Macer ,,
Livy,Titus Livius,m,
Lotichius,Lotichius,m,
Lucan,Marcus Annaeus Lucanus ,m,
Lucilius,Gaius Lucilius ,m,
Lucilius iunior ,Lucilius iunior ,,
Lucius Caesar ,Lucius Iulius Caesar ,,
Lucius Coelius Antipater ,Lucius Coelius Antipater ,,
Lucretius,Titus Lucretius Carus ,m,
Lutatius ,Quintus Lutatius Catulus ,,
Luther,Luther,m,
Macrobius,Macrobius,m,
Maecenas ,Gaius Cilnius Maecenas ,,
Maecianus ,Lucius Volusius Maecianus ,,
Magna Carta,Magna Carta,m,
Maidstone,Maidstone,m,
Mancia ,Helvius Mancia ,,
Manilius,Marcus Manilius ,m,
"Manilius, poet. ","Manilius, poet. ",,
Manius Manilius ,Manius Manilius ,,
Marcius ,Gnaeus Marcius vates ,,
Marcus Aurelius ,Marcus Aurelius ,,
Marcus Iuventius Laterensis ,Marcus Iuventius Laterensis ,,
Marcus Tullius Cicero,Cicero,m,
Marianus ,Marianus ,,
