PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
frequenter,"in large numbers, in crowds; often, frequently; generally, widely",frequenter,Adverb,23,1.1.1
hortor hortari hortatus sum,to urge,hortor,Verb,22,1.1.1
sum esse fui futurus,to be,sum,Verb,1816,1.1.1
ut or uti,"so that; as, when; that; how? In what manner?",ut,Conjunction,954,1.1.1
epistula epistulae f.,letter,epistula,Noun,102,1.1.1
si,if,si,Conjunction,420,1.1.1
quis quid (after si nisi ne or num),"anyone/thing, someone/thing",quis,Pronoun,89,1.1.1
paulo,slightly,paulo,Adverb,16,1.1.1
curo curare curavi curatus,to care for,curo,Verb,22,1.1.1
scribo scribere scripsi scriptus,to write,scribo,Verb,205,1.1.1
colligo colligere collegi collectus,to collect,colligo,Verb,25,1.1.1
publico publicare publicavi publicatus,to make public,publico,Verb,7,1.1.1
–que,and,que,Conjunction,830,1.1.1
non,not,non,Adverb,880,1.1.1
servo servare servavi servatus,to save,servo,Verb,30,1.1.1
tempus temporis n.,time,tempus,Noun,118,1.1.1
ordo ordinis m.,row,ordo,Noun,31,1.1.1
neque or nec,and not; neither … nor …,neque,Conjunction,73,1.1.1
enim,"in fact, for",enim,Conjunction,433,1.1.1
historia –ae f.,"a narrative of past events, history",historia,Noun,24,1.1.1
compono componere composui compositus,"to build, arrange, bury, calm down",compono,Verb,23,1.1.1
sed,but,sed,Conjunction,434,1.1.1
quisque quidque/quicque,"each, every",quisque,Pronoun,60,1.1.1
in,"in, on",in,Preposition,1150,1.1.1
manus manus f.,hand; band of men,manus,Noun,53,1.1.1
venio venire veni ventum,to come,venio,Verb,69,1.1.1
supersum superesse superfui superfuturus,to be left over,supersum,Verb,35,1.1.2
nec,nor; and not,nec,Conjunction,212,1.1.2
tu tui tibi te te,you,tu,Pronoun,665,1.1.2
consilium consilii n.,plan; council,consilium,Noun,52,1.1.2
ego mei mihi me me,"I, me",ego,Pronoun,1071,1.1.2
paenitet paenitere paenituit,"to make sorry, cause to repent",paenitet,Verb,8,1.1.2
obsequium –i n.,"deference, solicitude",obsequium,Noun,12,1.1.2
ita,"in this way, so",ita,Adverb,180,1.1.2
fio fieri factus sum,to become,fio,Verb,59,1.1.2
is ea id,"he, she it; that",is,Pronoun,579,1.1.2
qui quae quod,"who, which",qui,Pronoun,1999,1.1.2
adhuc,"thus far, to this point, still",adhuc,Adverb,56,1.1.2
neglectus –us m.,neglect,neglectus,Noun,2,1.1.2
iaceo iacere iacui,to lie,iaceo,Verb,18,1.1.2
requiro requirere requisivi requisitus,to seek,requiro,Verb,25,1.1.2
et,and,et,Conjunction,1705,1.1.2
addo addere addidi additus,to give to,addo,Verb,50,1.1.2
supprimo –primere –pressi –pressum,"to hold back, check",supprimo,Verb,3,1.1.2
valeo valere valui valitus,"to be strong, be worth",valeo,Verb,262,1.1.2
quia,because,quia,Conjunction,127,1.2.1
tardus –a –um,slow,tardus,Adjective,10,1.2.1
adventus adventus m.,an arrival,adventus,Noun,13,1.2.1
tuus –a –um,your,tuus,Adjective,336,1.2.1
prospicio prospicere prospexi prospectum,"to see in front, inspect",prospicio,Verb,11,1.2.1
liber libri m.,book,liber,Noun,81,1.2.1
prior prioris,"former, previous, prior, first; (+ abl. of comparison) superior to",prior,Number,31,1.2.1
promitto promittere promisi promissus,"to send forth, let loose; promise",promitto,Verb,13,1.2.1
exhibeo exhibere exhibui exhibitum ,to produce,exhibeo,Verb,13,1.2.1
hic haec hoc,"this, these",hic,Pronoun,905,1.2.1
rogo rogare rogavi rogatus,to ask,rogo,Verb,105,1.2.1
e ex,"out of, from",e,Preposition,387,1.2.1
consuetudo consuetudinis f.,"custom, usage, habit",consuetudo,Noun,12,1.2.1
lego legere legi lectus,"to choose, collect; read",lego,Verb,136,1.2.1
emendo –are,"to correct, amend",emendo,Verb,26,1.2.1
eo,"there, in that place; for that reason",eo,Adverb,16,1.2.1
magis or mage,more,magis,Adverb,213,1.2.1
quod,because,quod,Conjunction,277,1.2.1
nihil or nil or nihilo n.,nothing,nihil,Pronoun,152,1.2.1
umquam,ever,umquam,Adverb,5,1.2.1
peraeque,quite equally,peraeque,Adverb,1,1.2.1
idem eadem idem,same,idem,Pronoun,213,1.2.1
video videre vidi visus,to see,video,Verb,292,1.2.1
tento tentare tentavi tentatus,to try,tento,Verb,10,1.2.2
imitor imitari imitatus sum,to imitate,imitor,Verb,15,1.2.2
Demosthenes –is m.,Demonsthenes (name),Demosthenes,Noun,10,1.2.2
semper,always,semper,Adverb,39,1.2.2
Calvus –i m.,Calvus (name),Calvus,Noun,10,1.2.2
nuper,not long ago,nuper,Adverb,23,1.2.2
meus –a –um,"my, mine",meus,Adjective,405,1.2.2
dumtaxat,"while one examines, to this extent",dumtaxat,Adverb,12,1.2.2
figura figurae f.,"form, shape",figura,Noun,12,1.2.2
oratio orationis f.,"oration, speech",oratio,Noun,57,1.2.2
nam,for,nam,Conjunction,274,1.2.2
vis vis f.,force,vis,Noun,28,1.2.2
tantus –a –um,"so much, so great",tantus,Adjective,91,1.2.2
vir viri m.,man,vir,Noun,96,1.2.2
paucus –a –um,(pl.) a few; (sing.) small,paucus,Adjective,40,1.2.2
aequus –a –um,equal,aequus,Adjective,14,1.2.2
adsequor (assequor) adsequi adsecutus,to follow after,adsequor,Verb,13,1.2.2
possum posse potui,to be able,possum,Verb,339,1.2.2
materia materiae f.,material,materia,Noun,30,1.2.3
ipse ipsa ipsum,"himself, herself, itself (intensive)",ipse,Pronoun,419,1.2.3
vereor vereri veritus sum,to fear,vereor,Verb,76,1.2.3
ne,not; in order that…not; that…not; that,ne,Conjunction,228,1.2.3
improbus –a –um,bad,improbus,Adjective,7,1.2.3
dico dicere dixi dictus,"to say, speak",dico,Verb,297,1.2.3
aemulatio aemulationis f. ,rivalry; jealousy,aemulatio,Noun,7,1.2.3
repugno repugnare repugnavi repugnatus,to fight against,repugno,Verb,9,1.2.3
prope propius proxime,near (prep. + acc.),prope,Preposition,87,1.2.3
totus –a –um,whole,totus,Adjective,55,1.2.3
contentio contentionis f.,"exertion, effort",contentio,Noun,8,1.2.3
longus –a –um,"long, far",longus,Adjective,108,1.2.3
desidia –ae f.,"idleness, inactivity",desidia,Noun,10,1.2.3
indormio –ire –ivi –itus,"to sleep on top of, sleep over",indormio,Verb,1,1.2.3
excito excitare excitavi excitatus,"to stir up, arouse, put into motion",excito,Verb,17,1.2.3
modo,"only, just now",modo,Adverb,93,1.2.3
tamen,"nevertheless, however",tamen,Adverb,304,1.2.4
omnino,entirely,omnino,Adverb,31,1.2.4
Marcus Marci m.,Marcus,Marcus,Noun,13,1.2.4
noster nostra nostrum,"our, ours",noster,Adjective,153,1.2.4
fugio fugere fugi fugitus,"to flee, escape",fugio,Verb,15,1.2.4
etiam,also,etiam,Adverb,388,1.2.4
paulum or paululum,a little,paulum,Adverb,9,1.2.4
iter itineris n.,journey,iter,Noun,25,1.2.4
summoveo –ere –movi –motus,to move from beneath; remove,summoveo,Verb,4,1.2.4
quotiens or quoties,how many times; whenever,quotiens,Adverb,10,1.2.4
intempestivus –a –um,unseasonable; untimely,intempestivus,Adjective,2,1.2.4
amoenitas –atis f.,"pleasantness, delightfulness",amoenitas,Noun,8,1.2.4
decedo decedere decessi decessus,"to move away, withdraw",decedo,Verb,22,1.2.4
admoneo admonere admonui admonitus,"to admonish, remind",admoneo,Verb,38,1.2.4
acer acris acre,"sharp, piercing",acer,Adjective,31,1.2.4
tristis triste,sad,tristis,Adjective,27,1.2.4
volo velle volui,to wish,volo,Verb,147,1.2.4
puto putare putavi putatus,to think,puto,Verb,140,1.2.5
sub,under,sub,Preposition,39,1.2.5
exceptio –onis f. ,"an exception, restriction, limitation",exceptio,Noun,1,1.2.5
venia veniae f.,pardon,venia,Noun,29,1.2.5
postulo postulare postulavi postulatus,to demand,postulo,Verb,33,1.2.5
quo,that,quo,Conjunction,19,1.2.5
intendo intendere intendi intentus,"to stretch, strain",intendo,Verb,17,1.2.5
lima –ae f.,a carpenter’s file; (fig.) literary revision,lima,Noun,4,1.2.5
confiteor confiteri confessus sum,to confess,confiteor,Verb,9,1.2.5
contubernalis –is m./f.,"tentmate, comrade–in–arms",contubernalis,Noun,9,1.2.5
a ab abs,"from, by",a,Preposition,392,1.2.5
editio –onis f.,an account; a bringing forth,editio,Noun,6,1.2.5
abhorreo abhorrere abhorui,to shrink back from,abhorreo,Verb,3,1.2.5
fortasse or fortassis,perhaps,fortasse,Adverb,38,1.2.5
error erroris m.,"wandering, error",error,Noun,13,1.2.5
albus –a –um,white,albus,Adjective,2,1.2.5
calculus –i m.,small stone; pebble,calculus,Noun,9,1.2.5
adicio adicere adieci adiectus,to throw to,adicio,Verb,34,1.2.5
plane,clearly,plane,Adverb,18,1.2.6
aliquis aliquid and aliqui aliqua aliquod,"someone, something; some, any",aliquis,Pronoun,146,1.2.6
edo edere edidi editus,"to emit, bring forth",edo,Verb,17,1.2.6
atque or ac,"and, also",atque,Conjunction,142,1.2.6
utinam,introduces an Optative subjunctive,utinam,Adverb,8,1.2.6
potissimum,especially,potissimum,Adverb,22,1.2.6
paro parare paravi paratus,to prepare,paro,Verb,36,1.2.6
audio audire audivi auditus,to hear,audio,Verb,142,1.2.6
votum voti n.,vow,votum,Noun,26,1.2.6
autem,however; moreover,autem,Conjunction,84,1.2.6
multus –a –um,"much, many",multus,Adjective,251,1.2.6
causa causae f.,"cause, reason, lawsuit",causa,Noun,172,1.2.6
libellus libelli m.,"little book, document",libellus,Noun,45,1.2.6
emitto emittere emisi emissus,to send out,emitto,Verb,10,1.2.6
quamvis,"even though, although",quamvis,Adverb,39,1.2.6
iam,now; already,iam,Adverb,146,1.2.6
gratia gratiae f.,"favor, influence, gratitude",gratia,Noun,68,1.2.6
novitas –atis f.,newness,novitas,Noun,9,1.2.6
exuo exuere exui exutus,"to take off, strip",exuo,Verb,1,1.2.6
nisi or ni,if...not; unless,nisi,Conjunction,106,1.2.6
auris auris f.,ear,auris,Noun,23,1.2.6
bibliopola –ae m. ,a bookseller ,bibliopola,Noun,2,1.2.6
blandior blandiri blanditus sum,"to flatter, charm",blandior,Verb,5,1.2.6
sane,"certainly, truly",sane,Adverb,24,1.2.6
dum,"while, until, provided that",dum,Conjunction,54,1.2.6
per,through,per,Preposition,127,1.2.6
mendacium –i n.,lie,mendacium,Noun,1,1.2.6
nos nostrum/nostri,we; us,nos,Pronoun,144,1.2.6
studium studii n.,eagerness,studium,Noun,111,1.2.6
commendo commendare commendavi commendatus,"to entrust, recommend, approve",commendo,Verb,26,1.2.6
quis quid,"who, what",quis,Pronoun,334,1.3.1
ago agere egi actus,"to drive, do, act, concern oneself with",ago,Verb,148,1.3.1
Comum –i n.,Comum (town),Comum,Noun,1,1.3.1
delicia deliciae f. (often plural) or delici(ol)um –i m.,"charm, delight",delicia,Noun,5,1.3.1
suburbanum –i n.,"an estate near Rome, a suburban villa",suburbanum,Noun,3,1.3.1
amoenus –a –um,charming,amoenus,Adjective,6,1.3.1
ille illa illud,that,ille,Pronoun,610,1.3.1
porticus porticus f.,"covered walk, colonnade, portico",porticus,Noun,23,1.3.1
vernus –a –um,"of spring, vernal",vernus,Adjective,3,1.3.1
platanon –onos m. ,grove of plane–trees,platanon,Noun,1,1.3.1
opacus –a –um,"shady, dark",opacus,Adjective,5,1.3.1
euripus (euripos) –i m.,"a channel, strait, narrow sea",euripus,Noun,1,1.3.1
viridis –e,green,viridis,Adjective,7,1.3.1
gemmeus –a –um,"set with gems, jeweled",gemmeus,Adjective,2,1.3.1
subicio subicere subieci subiectus,"to throw under, put up for auction",subicio,Verb,11,1.3.1
servio servire servivi servitus,to serve,servio,Verb,10,1.3.1
lacus lacus m.,"lake, reservoir",lacus,Noun,28,1.3.1
mollis molle,"yielding, gentle",mollis,Adjective,19,1.3.1
solidus –a –um,"dense, firm, solid",solidus,Adjective,1,1.3.1
gestatio –onis f.,"a bearing, carrying",gestatio,Noun,8,1.3.1
balneum (balineum) –i n. or balneus –i m. or balnae –arum f.,a bath,balneum,Noun,32,1.3.1
sol solis m.,sun,sol,Noun,28,1.3.1
impleo implere implevi impletus,to fill in/up,impleo,Verb,23,1.3.1
et(iam),"even, also",et,Adverb,82,1.3.1
circumeo (circueo ) –ire –ii/–ivi circuitus,to go around,circumeo,Verb,12,1.3.1
triclinium –ii n.,triclinium,triclinium,Noun,11,1.3.1
popularis popularis,public,popularis,Adjective,3,1.3.1
cubiculum –i n.,bedroom,cubiculum,Noun,41,1.3.1
diurnus –a –um,daily,diurnus,Adjective,1,1.3.1
nocturnus –a –um,nocturnal,nocturnus,Adjective,3,1.3.1
possideo –ere –sedi –sessus,"to hold, possess",possideo,Verb,12,1.3.1
vicis vicis f.,"turn, change, succession",vicis,Noun,11,1.3.1
partior partiri partitus sum,"to divide, share",partior,Verb,1,1.3.1
an,"or, whether, if",an,Adverb,157,1.3.2
soleo solere solitus sum,to be accustomed,soleo,Verb,95,1.3.2
intentio –onis f.,"exertion, effort, attention; intention, purpose; concentration, fervor",intentio,Noun,15,1.3.2
res rei f.,"matter, business, affair, thing",res,Noun,124,1.3.2
familiaris familiare,"domestic, intimate",familiaris,Adjective,25,1.3.2
obeo obire obii/obivi obitum,"to go to, visit, survey",obeo,Verb,9,1.3.2
creber crebra crebrum,"thick, crowded, close",creber,Adjective,8,1.3.2
excursio –onis f.,"assault, sally",excursio,Noun,1,1.3.2
avoco –are,"to call off, call away",avoco,Verb,5,1.3.2
felix felicis,fortunate,felix,Adjective,17,1.3.2
beatus –a –um,"happy, blessed",beatus,Adjective,13,1.3.2
parum; minus; minime,too little,parum,Adverb,111,1.3.2
unus –a –um,1,unus,Number,99,1.3.2
multi –orum m.,subst.,multi,Noun,53,1.3.2
quin,"introduces Relative Clause of Characteristic, Doubting clause, Prevention clause",quin,Adverb,31,1.3.3
humilis humile,humble,humilis,Adjective,11,1.3.3
sordidus –a –um,"dirty, sordid",sordidus,Adjective,11,1.3.3
cura curae f.,"care, concern",cura,Noun,56,1.3.3
alius alia aliud (archaic: alis alid),"other, another",alius,Adjective,239,1.3.3
mando mandare mandavi mandatus,to entrust,mando,Verb,15,1.3.3
altus –a –um,"tall, high; deep",altus,Adjective,20,1.3.3
iste ista istud,that,iste,Pronoun,88,1.3.3
pinguis pingue,fat; dull,pinguis,Adjective,8,1.3.3
secessus –us m.,going apart; retreat,secessus,Noun,16,1.3.3
assero asserere asserui assertum,"to join, defend",assero,Verb,5,1.3.3
negotium negoti(i) n.,business,negotium,Noun,23,1.3.3
otium –ii n.,leisure,otium,Noun,39,1.3.3
labor laboris m.,work,labor,Noun,45,1.3.3
quies quietis f.,"sleep, rest",quies,Noun,16,1.3.3
vigilia vigiliae f.,vigilance,vigilia,Noun,4,1.3.3
somnus somni m.,sleep,somnus,Noun,9,1.3.3
repono reponere reposui repositus,to put back,repono,Verb,5,1.3.3
effingo –ere –finxi –fictus,to mold out,effingo,Verb,9,1.3.4
excudo –ere –cudi –cusus,to strike out,excudo,Verb,1,1.3.4
perpetuo,"constantly, uninterruptedly",perpetuo,Adverb,2,1.3.4
reliquus –a –um,remaining,reliquus,Adjective,26,1.3.4
post,after (adv. and prep. +acc.),post,Preposition,54,1.3.4
dominus domini m.,master,dominus,Noun,95,1.3.4
sortior –itus sum,to cast lots; obtain,sortior,Verb,3,1.3.4
numquam,never,numquam,Adverb,31,1.3.4
desino desinere desii desitus,"to leave off, cease",desino,Verb,21,1.3.4
semel,once,semel,Number,9,1.3.4
coepi coepisse coeptum,to begin,coepi,Verb,50,1.3.4
scio scire scivi/scii scitus,to know,scio,Verb,85,1.3.5
animus animi m.,"spirit, mind",animus,Noun,73,1.3.5
ingenium –(i)i n.,"disposition, ability",ingenium,Noun,54,1.3.5
enitor eniti enisus/enixus sum,"to struggle, strive, give birth to",enitor,Verb,7,1.3.5
tantum,only,tantum,Adverb,95,1.3.5
quantum,how much,quantum,Adverb,59,1.3.5
quantus –a –um,how great,quantus,Adjective,90,1.4.1
copia copiae f.,abundance; troops,copia,Noun,20,1.4.1
Ocriculanum –i n.,Ocriculanum (place),Ocriculanum,Noun,1,1.4.1
Narniensis –e,of Narnia,Narniensis,Adjective,2,1.4.1
Carsulanum –i n.,an estate near Carsulae,Carsulanum,Noun,1,1.4.1
Perusinum –i n.,Perusinum (place),Perusinum,Noun,1,1.4.1
vero,certainly,vero,Adverb,65,1.4.1
opus n. (indeclinable),need,opus,Noun,14,1.4.1
brevis breve,"short, brief",brevis,Adjective,49,1.4.1
vetus veteris,old,vetus,Adjective,21,1.4.1
sufficio sufficere suffeci suffectum,to suffuse,sufficio,Verb,30,1.4.1
mehercule or mehercules,by Hercules!,mehercule,Interjection,5,1.4.2
tam,so,tam,Adverb,143,1.4.2
quam,"than; as, how",quam,Adverb,370,1.4.2
differo differre distuli dilatus,to scatter; divulge; differ,differo,Verb,27,1.4.2
sollicitus –a –um,worried,sollicitus,Adjective,9,1.4.2
intente,intently,intente,Adverb,4,1.4.2
tui –orum m.,your friends,tui,Pronoun,9,1.4.2
excipio excipere excepi exceptus,"to receive, take",excipio,Verb,19,1.4.2
evenio evenire eveni eventus,to come out,evenio,Verb,9,1.4.3
quando,"when, since; some day (= si quando)",quando,Adverb,18,1.4.3
deverto devertere deverti deversum ,to turn aside,deverto,Verb,1,1.4.3
facio facere feci factus,"to do, make",facio,Verb,245,1.4.3
primum,first,primum,Number,62,1.4.3
perinde,"equally, in the same manner",perinde,Adverb,12,1.4.3
ac,and in addition,ac,Conjunction,159,1.4.3
perfruor perfrui perfructus,to enjoy thoroughly,perfruor,Verb,7,1.4.3
deinde or dein,"then, next",deinde,Adverb,90,1.4.3
expergiscor expergisci experrectus sum,"to awake, wake up",expergiscor,Verb,1,1.4.3
aliquando,"at some time, at length",aliquando,Adverb,20,1.4.3
securus –a –um,free from care,securus,Adjective,9,1.4.3
neglegens neglegentis,careless,neglegens,Adjective,4,1.4.3
exspecto exspectare exspectavi exspectatus,"to wait for, expect",exspecto,Verb,26,1.4.3
mitis mite,mild; ripe,mitis,Adjective,6,1.4.4
apud,"near, in the presence of",apud,Preposition,77,1.4.4
servus servi m.,enslaved person,servus,Noun,31,1.4.4
metus metus m.,"fear, dread, anxiety",metus,Noun,28,1.4.4
exolesco –olescere –olevi –oletum,"to grow up, grow old, reach limit of growth",exolesco,Verb,3,1.4.4
probo probare probavi probatus,to approve,probo,Verb,47,1.4.4
laboro laborare laboravi laboratum,to work,laboro,Verb,5,1.4.4
–ne,(added to the first word of a question),ne,Adverb,31,1.5.1
quisquam quicquam,"someone, anyone",quisquam,Pronoun,21,1.5.1
Regulus –i m.,Regulus,Regulus,Noun,34,1.5.1
timidus –a– um,"hesitant, cowardly, timid",timidus,Adjective,5,1.5.1
Domitianus –i m. ,Domitian (name),Domitianus,Noun,22,1.5.1
mors mortis f.,death,mors,Noun,52,1.5.1
parvus –a –um / minor –us / minimus –a –um,small,parvus,Adjective,69,1.5.1
flagitium flagiti(i) n.,scandal,flagitium,Noun,9,1.5.1
committo committere commisi commissus,"to join, entrust",committo,Verb,7,1.5.1
Nero –onis m.,Nero,Nero,Noun,13,1.5.1
tectus –a –um,covered,tectus,Adjective,2,1.5.1
sui sibi se se,"himself, herself, itself (reflexive)",sui,Pronoun,228,1.5.1
irascor irasci iratus,to grow angry,irascor,Verb,15,1.5.1
fallo fallere fefelli falsus,to deceive,fallo,Verb,16,1.5.1
Rusticus –i m.,Rusticus,Rusticus,Noun,6,1.5.2
Arulenus –i m.,Arulenus ,Arulenus,Noun,3,1.5.2
periculum periculi n.,danger,periculum,Noun,40,1.5.2
foveo fovere fovi fotus,to warm; favor,foveo,Verb,8,1.5.2
exsulto (exulto) –are –avi –atus,"to be ecstatic, exult",exsulto,Verb,3,1.5.2
adeo,"so, to such a point, to such an extent",adeo,Adverb,33,1.5.2
recito recitare recitavi recitatus,to read aloud,recito,Verb,72,1.5.2
insector insectari insectatus sum,"to pursue, hound",insector,Verb,6,1.5.2
Stoicus –a –um,Stoic,Stoicus,Adjective,1,1.5.2
simia –ae m./f.,monkey,simia,Noun,1,1.5.2
appello appellare appellavi appellatus,to call,appello,Verb,12,1.5.2
Vitellianus –a –um,of Vitellius,Vitellianus,Adjective,1,1.5.2
cicatrix –icis f.,a scar,cicatrix,Noun,2,1.5.2
stigmosus –a –um ,covered in tattoos,stigmosus,Adjective,1,1.5.2
agnosco agnoscere agnovi agnitus,to recognize,agnosco,Verb,10,1.5.3
eloquentia –ae f.,eloquence,eloquentia,Noun,11,1.5.3
lacero lacerare laceravi laceratus,to tear,lacero,Verb,1,1.5.3
Herrenius –ii m.,Herrenius,Herrenius,Noun,6,1.5.3
Senecio –onis m.,Senecio,Senecio,Noun,11,1.5.3
intemperans –antis,"without self-control, unrestrained, extravagant, immoderate, intemperate",intemperans,Adjective,1,1.5.3
quidem,moreover,quidem,Adverb,192,1.5.3
Mettius –i m.,Mettius (a Roman gentile name),Mettius,Noun,4,1.5.3
Carus –i m. ,Carus (a cognomen),Carus,Noun,3,1.5.3
cum,with (prep. +abl.),cum,Preposition,178,1.5.3
mortuus –a –um,dead,mortuus,Adjective,3,1.5.3
numquid,"in a direct question, a strengthened num",numquid,Adverb,2,1.5.3
aut; aut…aut,"or, either...or",aut,Conjunction,226,1.5.3
Crassus –i m.,Crassus,Crassus,Noun,1,1.5.3
Camerinus –i m.,Camerinus (name),Camerinus,Noun,1,1.5.3
molestus –a –um,"troublesome, annoying",molestus,Adjective,16,1.5.3
accuso accusare accusavi accusatus,to accuse,accuso,Verb,19,1.5.3
doleo dolere dolui dolitus,to feel pain/grief,doleo,Verb,18,1.5.4
fero ferre tuli latus,"to bear, carry, report",fero,Verb,54,1.5.4
credo credere credidi creditus,"to trust, believe",credo,Verb,73,1.5.4
ideo,for this reason,ideo,Adverb,41,1.5.4
cum,when; since; although,cum,Conjunction,399,1.5.4
adhibeo adhibere adhibui adhibitus,to apply,adhibeo,Verb,15,1.5.4
praeterea,besides,praeterea,Adverb,48,1.5.4
reminiscor reminisci —,to call to mind; recall,reminiscor,Verb,1,1.5.4
capitalis –e,"important, capital, deadly",capitalis,Adjective,3,1.5.4
centumvir –i m.,a judge chosen annually for civil suits,centumvir,Noun,9,1.5.4
lacesso lacessere lacessivi lacessitus,to provoke,lacesso,Verb,2,1.5.4
adsum adesse adfui adfuturus,to be present,adsum,Verb,28,1.5.5
Arrionilla –ae f.,Arrionilla (name),Arrionilla,Noun,1,1.5.5
Timon –onis m.,Timon (name),Timon,Noun,1,1.5.5
uxor uxoris f.,wife,uxor,Noun,39,1.5.5
rogatus –us m.,a request,rogatus,Noun,1,1.5.5
contra,"against, opposite (adv. and prep. +acc.)",contra,Preposition,50,1.5.5
nitor niti nixus sum,to press/lean upon,nitor,Verb,7,1.5.5
pars partis f.,"part, portion",pars,Noun,110,1.5.5
sententia sententiae f.,opinion,sententia,Noun,62,1.5.5
Modestus –i m.,Modestus (name),Modestus,Noun,10,1.5.5
bonus –a –um,good,bonus,Adjective,124,1.5.5
tum or tunc,"then, at that time",tum,Adverb,101,1.5.5
exilium (exsilium) –ii n.,"exile, banishment",exilium,Noun,8,1.5.5
relego relegare relegavi relegatus,to send away,relego,Verb,45,1.5.5
ecce,behold!,ecce,Interjection,4,1.5.5
quaero quaerere quaesii/quaesivi quaesitus,to seek,quaero,Verb,54,1.5.5
inquam inquis inquit inquiunt,to say,inquam,Verb,53,1.5.5
Secundus –i m.,Secundus,Secundus,Noun,26,1.5.5
de,"down from, about, concerning",de,Preposition,207,1.5.5
sentio sentire sensi sensus,to perceive,sentio,Verb,43,1.5.5
respondeo respondere respondi responsus,to answer,respondeo,Verb,50,1.5.5
bene; melius (comp.); optime (superl.),well,bene,Adverb,46,1.5.5
male,badly,male,Adverb,17,1.5.5
deus dei m.,god,deus,Noun,47,1.5.5
iudico iudicare iudicavi iudicatus,"to judge, decide",iudico,Verb,33,1.5.5
rursus or rursum ,back,rursus,Adverb,53,1.5.5
iterum,again,iterum,Adverb,23,1.5.6
testis testis m.,witness,testis,Noun,14,1.5.6
reus rei m.,defendant,reus,Noun,41,1.5.6
damno damnare damnavi damnatus,to condemn,damno,Verb,26,1.5.6
interrogo interrogare interrogavi interrogatus,"to inquire, ask of",interrogo,Verb,19,1.5.6
tertius –a –um,3rd,tertius,Number,32,1.5.6
pietas pietatis f.,devotion,pietas,Noun,25,1.5.6
at or ast,but,at,Conjunction,30,1.5.7
fas n.,right (indeclinable),fas,Noun,12,1.5.7
pronuntio pronuntiare pronuntiavi pronuntiatus,"to pronounce, speak",pronuntio,Verb,11,1.5.7
conticesco –ere –ticui,to become still; be still,conticesco,Verb,3,1.5.7
laus laudis f.,"praise, glory",laus,Noun,57,1.5.7
gratulatio –onis f.,thanksgiving,gratulatio,Noun,8,1.5.7
sequor sequi secutus sum,"to follow, come next",sequor,Verb,64,1.5.7
fama famae f.,"rumor, fame",fama,Noun,37,1.5.7
responsum –i n. or responsus –us m.,"an answer, response",responsum,Noun,2,1.5.7
utilis utilis utile,useful,utilis,Adjective,11,1.5.7
inhonestus –a –um,dishonorable; ignominious,inhonestus,Adjective,2,1.5.7
laedo laedere laesi laesus,"to injure by striking, hurt",laedo,Verb,4,1.5.7
laqueus –i m.,a noose,laqueus,Noun,2,1.5.7
insidiosus –a –um,"cunning, deceitful, treacherous",insidiosus,Adjective,1,1.5.7
interrogatio –onis f.,"questioning, inquiry",interrogatio,Noun,1,1.5.7
involvo –ere –volvi –volutus,to roll on or in; cast upon,involvo,Verb,2,1.5.7
nunc,now,nunc,Adverb,138,1.5.8
ergo,therefore,ergo,Conjunction,89,1.5.8
conscientia conscientiae f.,"awareness, conscience",conscientia,Noun,9,1.5.8
exterreo –ere –ui –itus,to frighten; alarm,exterreo,Verb,3,1.5.8
apprehendo apprehendere apprehendi apprehensum,to take hold of,apprehendo,Verb,4,1.5.8
Caecilius –i m.,Caecilius (name),Caecilius,Noun,6,1.5.8
Celer Celeris m.,Celer,Celer,Noun,3,1.5.8
mox,soon; then,mox,Adverb,33,1.5.8
Fabius –ii m.,Fabius,Fabius,Noun,4,1.5.8
Iustus –i m.,Justus (name),Iustus,Noun,3,1.5.8
reconcilio –are,"to recover, restore",reconcilio,Verb,2,1.5.8
contentus –a –um,"content, satisfied",contentus,Adjective,18,1.5.8
pervenio pervenire perveni perventus,"to reach, arrive at",pervenio,Verb,19,1.5.8
ad,"to, up to, towards",ad,Preposition,348,1.5.8
Spurinna –ae m.,Spurinna (name),Spurinna,Noun,9,1.5.8
supplex supplicis,suppliant,supplex,Adjective,1,1.5.8
timeo timere timui,to fear,timeo,Verb,24,1.5.8
abiectus –a –um,"dejected, despicable",abiectus,Adjective,1,1.5.8
mane,in the morning,mane,Adverb,4,1.5.8
Plinius –ii m.,Pliny,Plinius,Noun,5,1.5.8
domus domi f.,"house, home",domus,Noun,53,1.5.8
diu,for a long time,diu,Adverb,27,1.5.8
perfero perferre pertuli perlatus,to endure,perfero,Verb,17,1.5.8
sollicitudo –inis f. ,anxiety,sollicitudo,Noun,24,1.5.8
quoquomodo or quoquo modo,howsoever,quoquomodo,Adverb,5,1.5.8
"efficio efficere effeci effectus (efficatus, rarely)","carry out, accomplish",efficio,Verb,20,1.5.8
evigilo evigilare,"to be wakeful, be vigilant",evigilo,Verb,2,1.5.9
nuntius nunti(i) m.,messenger; news,nuntius,Noun,9,1.5.9
immo,no indeed,immo,Adverb,28,1.5.9
coeo coire coivo/coii coitus,to come together,coeo,Verb,7,1.5.9
Livia –ae f.,Livia (name),Livia,Noun,1,1.5.9
alter altera alterum,other of two,alter,Adjective,59,1.5.9
