PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
enumero enumerare enumeravi enumeratus,to count out or completely; enumerate,enumero,Verb,1,6.22.4
regero regerere regessi regestum,"to take back, restore; retaliate with",regero,Verb,2,6.22.4
intercipio –ere –cepi –ceptus,to catch a thing passing along; intercept,intercipio,Verb,3,6.22.4
intercido –cidere –cidi –cisum,"to cut asunder, cut down",intercido,Verb,1,6.22.4
pulchre pulchrius pulcherrime,beautifully more beautifully most beautifully,pulchre,Adverb,2,6.22.5
integritas –atis f.,completeness,integritas,Noun,4,6.22.5
Cremutius –i m.,Cremutius (name),Cremutius,Noun,1,6.23.2
Ruso –onis m.,Ruso (a Roman name),Ruso,Noun,2,6.23.2
factito factitare,to do frequently,factito,Verb,2,6.23.2
assigno (adsigno) –are,"to mark out, assign",assigno,Verb,5,6.23.2
emergo –gere –si –sum,"to come out of the water, emerge",emergo,Verb,2,6.23.5
fautor fautoris m.,patron; supporter,fautor,Noun,1,6.23.5
commendator –oris m.,a commender,commendator,Noun,1,6.23.5
navigo navigare navigavi navigatus,"to sail, navigate",navigo,Verb,4,6.24.2
diutinus (diutinus) –a –um,of long duration,diutinus,Adjective,1,6.24.3
ulcus –eris n.,sore,ulcus,Noun,1,6.24.3
putresco –ere –trui —,"to rot, putrefy; to crumble",putresco,Verb,1,6.24.3
sano sanare sanavi sanatus,to heal,sano,Verb,1,6.24.3
ligo ligare ligavi ligatus,"to tie, bind",ligo,Verb,1,6.24.5
Robustus –i m.,Robustus (name),Robustus,Noun,3,6.25.1
Scaurus –i m.,Scaurus,Scaurus,Noun,3,6.25.1
Ocriculum –i n.,Ocriculum (place),Ocriculum,Noun,1,6.25.1
compareo –parere –parui —,"to be evident, appear",compareo,Verb,1,6.25.1
suspicor suspicari suspicatus sum,to suspect,suspicor,Verb,3,6.25.2
Metilius –(i)i m.,Metilius (name),Metilius,Noun,1,6.25.2
Crispus –i m.,Crispus ,Crispus,Noun,2,6.25.2
quadraginta; quadragesimus –a –um,40; 40th,quadraginta,Number,3,6.25.3
sagacitas –atis f.,keenness of perception,sagacitas,Noun,1,6.25.5
patricius –a –um,"patrician, noble",patricius,Adjective,1,6.26.1
exploro explorare exploravi exploratus,"to explore, investigate",exploro,Verb,10,6.26.2
haesitatio –onis f.,"a hesitating, stammering, embarrassment, hesitation",haesitatio,Noun,4,6.27.1
alio,to another place; in another direction,alio,Adverb,1,6.27.3
dissimulatio dissimulationis f. ,concealment ,dissimulatio,Noun,2,6.27.3
migro migrare migravi migratus,"to go, depart",migro,Verb,1,6.28.1
Avidius –(i)i m.,Avidius (name),Avidius,Noun,4,6.29.1
Quietus –i m.,Quietus,Quietus,Noun,3,6.29.1
solitus –a –um,having been accustomed,solitus,Adjective,2,6.29.1
interpretatio –onis f.,an explanation,interpretatio,Noun,3,6.29.2
agens –entis,"effective, powerful",agens,Noun,1,6.29.2
ambitiosus –a –um,"twisting; ambitious, eager",ambitiosus,Adjective,3,6.29.3
assiduitas –atis f.,constant service,assiduitas,Noun,2,6.29.5
temeritas temeritatis f.,rashness,temeritas,Noun,1,6.29.5
Isocrates –is or –i m.,Isocrates (name),Isocrates,Noun,1,6.29.6
officio officere offeci offectum,to obstruct,officio,Verb,1,6.29.6
divisio –onis f.,division,divisio,Noun,2,6.29.7
plecto –ere,to beat; punish,plecto,Verb,1,6.29.8
luo luere lui,"to satisfy, pay for",luo,Verb,2,6.29.8
incustoditus –a –um,unguarded,incustoditus,Adjective,1,6.29.10
Camillanus –a –um,of Camillus,Camillanus,Adjective,1,6.30.2
vetustas vetustatis f.,age,vetustas,Noun,5,6.30.2
togatus –a –um,wearing the toga,togatus,Adjective,1,6.30.4
administratio administrationis f. ,"management, administration",administratio,Noun,1,6.30.4
Centumcellae –arum f.,Centumcellae (city),Centumcellae,Noun,1,6.31.1
recludo –ere –clusi –clusus,to unclose; to open,recludo,Verb,1,6.31.2
Aristion –onis m.,Aristion (name),Aristion,Noun,1,6.31.3
Ephesius –a –um,pertaining to Ephesus,Ephesius,Adjective,1,6.31.3
munificus –a –um,dutiful; generous,munificus,Adjective,2,6.31.3
Gallitae –arum m.pl.,the Gallitae,Gallitae,Noun,1,6.31.4
adulterium adulteri(i) n.,adultery,adulterium,Noun,3,6.31.4
centurio centurionis m.,centurion,centurio,Noun,8,6.31.4
exauctoro –avi –atum,to dismiss or discharge from service,exauctoro,Verb,1,6.31.5
commemoratio –onis f.,"a reminding, mentioning",commemoratio,Noun,1,6.31.6
disciplina disciplinae f.,"instruction, learning, discipline",disciplina,Noun,5,6.31.6
militaris –ris –re,military,militaris,Adjective,2,6.31.6
iacto iactare iactavi iactatus,to throw,iacto,Verb,1,6.31.7
Tiro –onis m.,Tiro (name),Tiro,Noun,8,6.31.7
substituo –stituere –stitui –stitutum ,"to present, submit",substituo,Verb,1,6.31.8
Sempronius –ii m.,Sempronius,Sempronius,Noun,3,6.31.8
