PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
rigidus –a –um,"hard, rigid, strict",rigidus,Adjective,2,10.346
Dryops –opis m.,Dryops,Dryops,Noun,1,10.346
eminus,from afar,eminus,Adverb,9,10.346
Ismara –ae f.,Ismara (town),Ismara,Noun,1,10.351
arbustum –i n.,growth of trees; grove; thicket,arbustum,Noun,1,10.363
diruo –ere –ui –utus,to overthrow,diruo,Verb,1,10.363
pedester –tris –tre,"pedestrian, unmounted",pedester,Adjective,2,10.364
natura naturae f.,nature,natura,Noun,1,10.366
Lagus –i m.,Lagus,Lagus,Noun,1,10.381
recepto receptare receptavi receptatus,to take back or out; recover,recepto,Verb,1,10.383
Hisbo –onis m.,Hisbo,Hisbo,Noun,1,10.384
sodalis sodalis m.,comrade,sodalis,Noun,1,10.386
Sthenius –ii m.,Sthenius,Sthenius,Noun,1,10.388
Anchemolus –i m.,Anchemolus,Anchemolus,Noun,1,10.389
Daucius –a –um,of Daucus,Daucius,Adjective,1,10.391
Larides –is m.,Larides,Larides,Noun,2,10.391
Thymber –bri m.,Thymber,Thymber,Noun,2,10.391
indiscretus –a –um,unseparated,indiscretus,Adjective,1,10.392
Evandrius –a –um,of Evander; Evandrian,Evandrius,Adjective,1,10.394
decido –ere –cidi –cisus,to cut,decido,Verb,2,10.395
biiugis –e,yoked two together,biiugis,Adjective,6,10.399
Rhoeteus –eos m.,Rhoeteus,Rhoeteus,Noun,2,10.399
intercipio –ere –cepi –ceptus,to catch a thing passing along; intercept,intercipio,Verb,1,10.402
Teuthras –antis m.,Teuthras,Teuthras,Noun,1,10.402
Tyres –ae m.,Tyres,Tyres,Noun,1,10.403
Ladon –onis acc. –ona m.,Ladon,Ladon,Noun,1,10.413
Pheres –etis m.,Pheres,Pheres,Noun,1,10.413
Demodocus –i m.,Demodocus,Demodocus,Noun,1,10.413
Str?monius –ii m.,Strymonius,Strymonius,Noun,1,10.414
iugulum –i n.,the joining part; the throat,iugulum,Noun,4,10.415
missilis –e,hurled,missilis,Adjective,3,10.421
Imaon –onis (acc. Imaona) m.,Imaon,Imaon,Noun,1,10.424
inermus –a –um,unarmed,inermus,Adjective,2,10.425
perterreo perterrere perterrui perterritus,to terrify,perterreo,Verb,1,10.426
interimo interimere interemi interemptus,to destroy,interimo,Verb,1,10.428
imperditus –a –um,undestroyed,imperditus,Adjective,1,10.430
addenseo –ere or addenso –are,to make compact,addenseo,Verb,1,10.432
discrepo discrepare discrepui,to be discordant in sound; (fig.),discrepo,Verb,1,10.434
spectator –oris m.,beholder,spectator,Noun,1,10.443
abscessus abscessus m.,going away,abscessus,Noun,1,10.445
trux trucis,savage,trux,Adjective,1,10.447
desilio –ire –ui –sultus,to leap or spring down; alight from,desilio,Verb,3,10.453
advolo advolare advolavi advolatus,to fly to,advolo,Verb,4,10.456
contiguus –a –um,"near, within reach",contiguus,Adjective,1,10.457
inreparabilis –e,irrecoverable,inreparabilis,Adjective,1,10.467
penetrabilis –e,piercing,penetrabilis,Adjective,1,10.481
perforo perforare perforavi perforatus,to bore or pierce through,perforo,Verb,2,10.485
corruo –ere –ui,to fall completely; fall down,corruo,Verb,1,10.488
adsisto (assisto) –ere adstiti,to stand at,adsisto,Verb,2,10.490
largior –iri –itus sum,to give largely; bestow,largior,Verb,1,10.494
Clonus –i m.,Clonus,Clonus,Noun,1,10.499
Eurytides –ae m.,Eurytides,Eurytides,Noun,1,10.499
educo –are –avi –atum,to bring up educate,educo,Verb,1,10.518
immolo immolare immolavi immolatus,to sprinkle the sacred meal upon the victim; to immolate,immolo,Verb,3,10.519
Magus –i m.,Magus,Magus,Noun,1,10.521
astus –us m.,cunning; abl. astu,astus,Noun,2,10.522
tremebundus –a –um,quivering,tremebundus,Adjective,1,10.522
supervolo supervolare supervolavi supervolatus,to fly over or above,supervolo,Verb,1,10.522
defodio –ere –fodi –fossus,to dig down,defodio,Verb,1,10.526
commercium –ii n.,trade; negotiation,commercium,Noun,1,10.532
Haemonides –ae m.,Haemonides,Haemonides,Noun,1,10.537
supersto superstare –––,to stand over,supersto,Verb,1,10.540
tropaeum –i n.,memorial of the turning,tropaeum,Noun,7,10.542
Anxur Anxuris m.,Anxur,Anxur,Noun,1,10.545
fortasse or fortassis,perhaps,fortasse,Adverb,1,10.548
Tarquitus –i m.,Tarquitus,Tarquitus,Noun,1,10.550
silvicola –ae m./f.,an inhabitant of the woods,silvicola,Noun,1,10.551
Dryope –es f.,Dryope,Dryope,Noun,1,10.551
provolvo –ere –volvi –volutus,to roll forward or along,provolvo,Verb,2,10.556
istic,there,istic,Adverb,1,10.557
piscis piscis m.,fish,piscis,Noun,1,10.560
Antaeus –i m.,Antaeus,Antaeus,Noun,1,10.561
Lucas –ae m.,Lucas,Lucas,Noun,1,10.561
Camers –ertis,of Camerinum (town),Camers,Adjective,2,10.562
Ausonides –ae or Ausonidae –arum or Ausonidae –um m.,Ausonides,Ausonides,Noun,3,10.564
Am?clae –arum f.,Amyclae,Amyclae,Noun,1,10.564
Aegaeon –onis m.,Aegaean,Aegaeon,Noun,1,10.565
intepeo –ere –ui,to become warm,intepeo,Verb,1,10.570
Niphaeus –i m.,Niphaeus,Niphaeus,Noun,1,10.570
quadriiugis –e,four–yoked,quadriiugis,Adjective,1,10.571
Lucagus –i m.,Lucagus,Lucagus,Noun,4,10.575
fervor –oris m.,fury,fervor,Noun,1,10.578
inguen –inguinis n.,the groin,inguen,Noun,2,10.589
salio salire salui saltus,to leap,salio,Verb,1,10.594
Daunus –i m.,Daunus,Daunus,Noun,5,10.616
instans –antis,"present, immediate",instans,Adjective,2,10.624
adlacrimans –antis,weeping,adlacrimans,Adjective,1,10.628
orsa –orum n.,words,orsa,Noun,1,10.632
adsimulo adsimulare adsimulavi adsimulatus,to make like; to counterfeit,adsimulo,Verb,2,10.639
crepido –inis f.,base; mound,crepido,Noun,1,10.653
Clusinus –a –um,of Clusium,Clusinus,Adjective,1,10.655
Osinius –ii m.,Osinius,Osinius,Noun,1,10.655
transilio –ire –ivi (–ii or –ui),to leap over; pass over,transilio,Verb,2,10.658
sublime,"loftily, on high",sublime,Adverb,1,10.664
dedecus dedecoris n.,"shame, disgrace",dedecus,Noun,3,10.681
Dolichaon –onis m.,Dolichaon,Dolichaon,Noun,1,10.696
Latagus –i m.,Latagus,Latagus,Noun,2,10.697
Palmus –i m.,Palmus,Palmus,Noun,2,10.697
Euanthes –ae m.,Euanthes,Euanthes,Noun,1,10.702
Mimas –antis m.,Mimas,Mimas,Noun,2,10.702
Theano –us f.,Theano,Theano,Noun,1,10.703
Vesulus –i m.,Vesulus,Vesulus,Noun,1,10.708
harundineus –a –um,reedy,harundineus,Adjective,1,10.710
infremo –ere –ui,to bellow; rage,infremo,Verb,1,10.711
irascor irasci iratus,to grow angry,irascor,Verb,2,10.712
decutio –ere –cussi –cussus,to shake off,decutio,Verb,1,10.718
Acron –onis m.,Acron,Acron,Noun,2,10.719
caprea –ae f.,a kind of wild goat,caprea,Noun,1,10.725
cruento cruentare cruentavi cruentatus,to make bloody,cruento,Verb,1,10.731
Orodes –is m.,Orodes,Orodes,Noun,2,10.732
abicio abicere abieci abiectum,to throw down/away,abicio,Verb,1,10.736
Alcathous –i m.,Alcathous,Alcathous,Noun,1,10.747
Sacrator –oris m.,Sacrator,Sacrator,Noun,1,10.747
Hydaspes –is m.,Hydaspes,Hydaspes,Noun,1,10.747
Parthenius –ii m.,Parthenius,Parthenius,Noun,1,10.748
Rapo –onis m.,Rapo,Rapo,Noun,1,10.748
praedurus –a –um,very hard,praedurus,Adjective,1,10.748
Orses –ae m.,Orses,Orses,Noun,1,10.748
Lycaonius –a –um,of Lycaonia (region); of or descended from Lycaon,Lycaonius,Adjective,1,10.749
Ericetes –ae m.,Ericetes,Ericetes,Noun,1,10.749
Agis Agidis m.,Agis,Agis,Noun,1,10.751
Valerus –i m.,Valerus,Valerus,Noun,1,10.752
Thronius –ii m.,Thronius,Thronius,Noun,1,10.753
Nealces –ae m.,Nealces,Nealces,Noun,1,10.753
imperterritus –a –um,undaunted,imperterritus,Adjective,1,10.770
voveo vovere vovi votus,to vow,voveo,Verb,3,10.774
Antores –ae m.,Antores,Antores,Noun,2,10.778
reminiscor reminisci —,to call to mind; recall,reminiscor,Verb,1,10.782
memorandus –a –um,worthy of mention; famed,memorandus,Adjective,1,10.793
inligo inligare inligavi inligatus,to bind on; attach to; impede,inligo,Verb,1,10.794
arator –oris m.,ploughman,arator,Noun,1,10.804
pluit pluere pluit,to it is raining,pluit,Verb,1,10.807
detono –ere –tonui,to thunder loudly,detono,Verb,1,10.809
neo nere nevi netus,to spin; weave,neo,Verb,1,10.818
indoles –is f.,that which is bred within; natural disposition; genius,indoles,Noun,1,10.826
sublevo sublevare sublevavi sublevatus,to lift from beneath; uplift,sublevo,Verb,1,10.831
turpo turpare turpavi turpatus,to make indecent; to soil,turpo,Verb,2,10.832
capillus capilli m.,hair,capillus,Noun,1,10.832
acclinis –e,leaning on or against,acclinis,Adjective,1,10.835
propexus –a –um,hanging down,propexus,Adjective,1,10.838
deformo deformare deformavi deformatus,to disfigure,deformo,Verb,2,10.844
Rhaebus –i m.,Rhaebus,Rhaebus,Noun,1,10.861
consuesco consuescere consuevi consuetus,to accustom; to be accustomed to,consuesco,Verb,1,10.867
hirsutus –a –um,"rough, hairy",hirsutus,Adjective,1,10.869
equito equitare equitavi equitatus,to be a horseman; to ride,equito,Verb,1,10.885
cernuus –a –um,with head or face prone downward,cernuus,Adjective,1,10.894
consors –consortis,having a common lot,consors,Adjective,1,10.906
bellipotens –entis,powerful in war,bellipotens,Adjective,1,11.8
perfodio –ere –fodi –fossus,to dig or pierce through,perfodio,Verb,1,11.10
primitiae –arum f.,the first fruits; first offerings,primitiae,Noun,2,11.16
praesumo –ere –sumpsi –sumptus,to take beforehand; anticipate,praesumo,Verb,1,11.18
Acoetes –is m.,Acoetes,Acoetes,Noun,2,11.30
aeque,equally,aeque,Adverb,2,11.32
pudendus –a –um,that one should be ashamed of; shameful,pudendus,Adjective,1,11.55
praesidium praesidi(i) n.,protection,praesidium,Noun,1,11.58
intersum –esse –fui,"to be between, be present",intersum,Verb,1,11.62
arbuteus –a –um,of the arbutus (strawberry-tree),arbuteus,Adjective,1,11.65
quernus –a –um,oaken,quernus,Adjective,1,11.65
obtentus –us m.,spreading over; covering,obtentus,Noun,1,11.66
inumbro inumbrare inumbravi inumbratus,to cast a shade upon; overshadow; shade,inumbro,Verb,1,11.66
stramen –inis n.,something spread out; a couch,stramen,Noun,1,11.67
demeto –ere –messui –messus,to reap; cut off,demeto,Verb,1,11.68
pollex –icis m.,"thumb, big toe",pollex,Noun,1,11.68
viola –ae f.,violet,viola,Noun,1,11.69
hyacinthus –i m.,hyacinth,hyacinthus,Noun,1,11.69
obnubo –ere –nupsi –nuptus,to cover up,obnubo,Verb,1,11.77
Aethon –onis m.,Aethon,Aethon,Noun,1,11.89
olea –ae f.,an olive,olea,Noun,1,11.101
aspernor –ari –atus sum,"to slight, repel, refuse",aspernor,Verb,1,11.106
finio finire finivi finitus,"to finish, limit",finio,Verb,2,11.116
Drances –is m.,Drances,Drances,Noun,7,11.122
sequester –tris m. or sequestra –ae f.,one with whom something is placed in trust; sequestra pace,sequester,Noun,1,11.133
bipennis –e,two–winged; two–edged,bipennis,Adjective,1,11.135
fraxinus –i f.,an ash tree,fraxinus,Noun,1,11.136
plaustrum –i n.,cart,plaustrum,Noun,1,11.138
praenuntius –a –um,"foreboding, of omen",praenuntius,Adjective,1,11.139
discrimino discriminare discriminavi discriminatus,to separate; to make distinct,discrimino,Verb,1,11.144
plango –ere –planxi –planctus,to beat,plango,Verb,1,11.145
cautus –a –um,"cautious, careful, prudent",cautus,Adjective,1,11.153
perdulcis (praedulcis) –e,very sweet,perdulcis,Adjective,1,11.155
rudimentum –i n.,beginning; first lesson,rudimentum,Noun,1,11.157
superstes –itis,"surviving, remaining alive after death",superstes,Adjective,1,11.160
immaturus –a –um,untimely,immaturus,Adjective,1,11.166
iugulo iugulare iugulavi iugulatus,to cut the throat; slay,iugulo,Verb,2,11.199
bustum –i n.,the mound where the dead have been burned; funeral pile,bustum,Noun,3,11.201
inverto –ere –verti –versus,to turn over; invert,inverto,Verb,1,11.202
infodio –ere –fodi –fossus,to dig in; bury,infodio,Verb,1,11.205
praedives –itis,"wealthy, opulent",praedives,Adjective,1,11.213
orbus –a –um,bereft,orbus,Adjective,1,11.216
ingravo ingravare ingravavi ingravatus,to make heavy; aggravate,ingravo,Verb,1,11.220
obumbro obumbrare obumbravi obumbratus,to overshadow; darken,obumbro,Verb,2,11.223
impensa –ae f. (sc. pecunia),outlay,impensa,Noun,1,11.228
Argyripa –ae f.,Argyripa,Argyripa,Noun,1,11.246
Garganus –i m.,Garganus,Garganus,Noun,1,11.247
attraho –ere –traxi –tractus,to draw or bring to,attraho,Verb,1,11.250
Caphareus (Caphereus) –ei or –eos m.,Caphereus,Caphareus,Noun,1,11.260
