PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
ille illa illud,that,ille,Pronoun,379,0.1
ego mei mihi me me,"I, me",ego,Pronoun,389,0.1
qui quae quod,"who, which",qui,Pronoun,766,0.1
quondam,"formerly, at times, sometimes",quondam,Adverb,41,0.1
gracilis gracile,thin,gracilis,Adjective,1,0.1
modulor –ari –atus sum,to measure; regulate,modulor,Verb,1,0.1
avena –ae f.,a straw,avena,Noun,1,0.1
carmen carminis n.,"song, poem",carmen,Noun,14,0.2
et,and,et,Conjunction,2083,0.2
egredior egredi egressus sum,to depart,egredior,Verb,7,0.2
silva silvae f.,forest,silva,Noun,68,0.2
vicinus –a –um,neighboring,vicinus,Adjective,6,0.2
cogo cogere coegi coactus,to drive together; compel,cogo,Verb,25,0.2
ut or uti,"so that; as, when; that; how? In what manner?",ut,Conjunction,160,0.3
quamvis,"even though, although",quamvis,Adverb,5,0.3
avidus –a –um,"greedy, keen",avidus,Adjective,8,0.3
pareo parere parui paritus,"to obey, appear, be present",pareo,Verb,17,0.3
arvum arvi n.,field,arvum,Noun,53,0.3
colonus coloni m.,"farmer, colonist",colonus,Noun,6,0.3
gratus –a –um,pleasant; grateful,gratus,Adjective,14,0.4
opus operis n.,work; need,opus,Noun,28,0.4
agricola agricolae m.,farmer,agricola,Noun,5,0.4
at or ast,but,at,Conjunction,146,0.4
nunc,now,nunc,Adverb,216,0.4
horrens –entis,bristling,horrens,Adjective,9,0.4
Mars Martis m.,Mars,Mars,Noun,43,0.4
arma armorum n.,"arms, weapons",arma,Noun,279,1.1
vir viri m.,man,vir,Noun,170,1.1
–que,and,que,Conjunction,3212,1.1
cano canere cecini cantus,to sing,cano,Verb,43,1.1
Troia Troiae f.,Troy,Troia,Noun,87,1.1
primus –a –um,first,primus,Number,200,1.1
a ab abs,"from, by",a,Preposition,197,1.1
ora –ae f.,"shore, coast",ora,Noun,50,1.1
Italia Italiae f.,Italy,Italia,Noun,44,1.2
fatum –i n. or fatus –i m.,"destiny, fate",fatum,Noun,125,1.2
profugus –a –um,"fugitive, exiled",profugus,Adjective,5,1.2
Lavinius (Lavinus) –a –um,Lavinius,Lavinius,Adjective,2,1.2
venio venire veni ventum,to come,venio,Verb,122,1.2
litus litoris n.,sea–shore,litus,Noun,127,1.3
multum,"much, a lot",multum,Adverb,7,1.3
terra terrae f.,land,terra,Noun,166,1.3
iacto iactare iactavi iactatus,to throw,iacto,Verb,31,1.3
altum alti n.,deep sea; height,altum,Noun,28,1.3
vis vis f.,force,vis,Noun,110,1.4
superi –orum m.,"those above, i.e. the gods",superi,Noun,17,1.4
saevus –a –um,savage,saevus,Adjective,59,1.4
memor memoris,remembering,memor,Adjective,19,1.4
Iuno Iunonis f.,Juno,Iuno,Noun,56,1.4
ob,on account of,ob,Preposition,16,1.4
ira irae f.,anger,ira,Noun,65,1.4
multus –a –um,"much, many",multus,Adjective,161,1.5
quoque,also,quoque,Adverb,25,1.5
bellum (duellum) belli n.,war,bellum,Noun,179,1.5
patior pati passus sum,"to permit, endure",patior,Verb,32,1.5
dum,"while, until, provided that",dum,Conjunction,81,1.5
condo condere condidi conditus,"to build, store up, place",condo,Verb,45,1.5
urbs urbis f.,city,urbs,Noun,196,1.5
infero inferre intuli inlatus,to bring upon/against,infero,Verb,24,1.6
deus dei m.,god,deus,Noun,181,1.6
Latium –ii n.,Latium,Latium,Noun,31,1.6
genus generis n.,origin,genus,Noun,70,1.6
unde,"from where, whence",unde,Adverb,26,1.6
Latinus (Latius) –a –um,of Latium; Latin,Latinus,Adjective,63,1.6
Albanus –a –um,pertaining to Alba Longa (city in Latium; birthplace of Romulus and Remus),Albanus,Adjective,8,1.7
pater patris m.,father; (in pl.) Patricians; Senators,pater,Noun,172,1.7
atque or ac,"and, also",atque,Conjunction,293,1.7
altus –a –um,"tall, high; deep",altus,Adjective,175,1.7
moenia moenium n. pl.,walls,moenia,Noun,92,1.7
Roma Romae f.,Rome,Roma,Noun,7,1.7
Musa –ae f.,a Muse,Musa,Noun,5,1.8
causa causae f.,"cause, reason, lawsuit",causa,Noun,33,1.8
memoro memorare memoravi memoratus,to remember,memoro,Verb,27,1.8
quis quid,"who, what",quis,Pronoun,350,1.8
numen numinis n.,divine will,numen,Noun,62,1.8
laedo laedere laesi laesus,"to injure by striking, hurt",laedo,Verb,5,1.8
ve,or (postpositive enclitic),ve,Conjunction,79,1.9
doleo dolere dolui dolitus,to feel pain/grief,doleo,Verb,6,1.9
regina reginae f.,queen,regina,Noun,41,1.9
tot,so many,tot,Pronoun,46,1.9
volvo volvere volui volutum,"to roll, to ponder",volvo,Verb,53,1.9
casus casus m.,"fall, chance",casus,Noun,47,1.9
insignis insigne,distinguished,insignis,Adjective,29,1.10
pietas pietatis f.,devotion,pietas,Noun,22,1.10
adeo adire adivi/adii aditus,to go to,adeo,Verb,17,1.10
labor laboris m.,work,labor,Noun,74,1.10
impello impellere impuli impulsum,to strike against,impello,Verb,19,1.11
tantus –a –um,"so much, so great",tantus,Adjective,118,1.11
–ne,(added to the first word of a question),ne,Adverb,63,1.11
animus animi m.,"spirit, mind",animus,Noun,162,1.11
caelestis caeleste,from heaven,caelestis,Adjective,5,1.11
antiquus –a –um,"ancient, old",antiquus,Adjective,42,1.12
sum esse fui futurus,to be,sum,Verb,531,1.12
Tyrius –a –um,of Tyre; Tyrian or Phoenician,Tyrius,Adjective,25,1.12
teneo tenere tenui tentus,to hold,teneo,Verb,133,1.12
Carthago Carthaginis f.,Carthage,Carthago,Noun,10,1.13
contra,"against, opposite (adv. and prep. +acc.)",contra,Preposition,75,1.13
Tiberinus (Th?brinus) –a –um,pertaining to the Tiber,Tiberinus,Adjective,9,1.13
longus –a –um,"long, far",longus,Adjective,125,1.13
ostium osti(i) n.,door,ostium,Noun,9,1.14
dives divitis,rich; as substantive rich man,dives,Adjective,16,1.14
ops opis f.,resources,ops,Noun,26,1.14
studium studii n.,eagerness,studium,Noun,11,1.14
asper –a –um,rough,asper,Adjective,31,1.14
fero ferre tuli latus,"to bear, carry, report",fero,Verb,273,1.15
magis or mage,more,magis,Adverb,24,1.15
omnis omne,every; all,omnis,Adjective,330,1.15
unus –a –um,1,unus,Number,100,1.15
posthabeo –ere –ui –itus,"to hold next; esteem less, overlook",posthabeo,Verb,1,1.16
colo colere colui cultus,"to inhabit, cultivate",colo,Verb,20,1.16
Samos (–us) –i f.,Samos (island),Samos,Noun,2,1.16
hic,here,hic,Adverb,133,1.16
currus currus m.,chariot,currus,Noun,51,1.17
hic haec hoc,"this, these",hic,Pronoun,694,1.17
regnum regni n.,"royal power, kingdom",regnum,Noun,86,1.17
dea deae f.,goddess,dea,Noun,55,1.17
gens gentis f.,"family, clan",gens,Noun,96,1.17
si,if,si,Conjunction,206,1.18
quis quid (after si nisi ne or num),"anyone/thing, someone/thing",quis,Pronoun,85,1.18
sino sinere sivi situs,to allow,sino,Verb,31,1.18
iam,now; already,iam,Adverb,250,1.18
tum or tunc,"then, at that time",tum,Adverb,248,1.18
tendo tendere tetendi tentum,to stretch,tendo,Verb,71,1.18
foveo fovere fovi fotus,to warm; favor,foveo,Verb,12,1.18
progenies progeniei f.,descent,progenies,Noun,9,1.19
sed,but,sed,Conjunction,146,1.19
enim,"in fact, for",enim,Conjunction,39,1.19
Troianus –a –um,Trojan,Troianus,Adjective,46,1.19
sanguis sanguinis m. or sanguen –inis n.,blood,sanguis,Noun,96,1.19
duco ducere duxi ductus,to lead; consider,duco,Verb,77,1.19
audio audire audivi auditus,to hear,audio,Verb,55,1.20
olim,formerly,olim,Adverb,20,1.20
verto vertere verti versus,to turn,verto,Verb,73,1.20
arx arcis f.,"summit, citadel",arx,Noun,52,1.20
hinc,"from here, hence",hinc,Adverb,86,1.21
populus populi m.,people,populus,Noun,43,1.21
latus –a –um,"broad, wide",latus,Adjective,60,1.21
rex regis m.,king,rex,Noun,132,1.21
superbus –a –um,arrogant,superbus,Adjective,38,1.21
excidium –ii n.,complete cutting or tearing down; razing,excidium,Noun,6,1.22
Libya –ae f.,Libya,Libya,Noun,12,1.22
sic,"so, in this way",sic,Adverb,162,1.22
Parca –ae f.,Parca; one of the Fates,Parca,Noun,8,1.22
is ea id,"he, she it; that",is,Pronoun,82,1.23
metuo metuere metui,"to fear, dread",metuo,Verb,11,1.23
vetus veteris,old,vetus,Adjective,28,1.23
Saturnius –a –um,beloning to Saturn; Saturnian,Saturnius,Adjective,22,1.23
ad,"to, up to, towards",ad,Preposition,322,1.24
pro,"on behalf of, for, instead of, in accordance with (+ abl.)",pro,Preposition,48,1.24
carus –a –um,precious,carus,Adjective,24,1.24
gero gerere gessi gestus,"to bear, manage",gero,Verb,40,1.24
Argus (Argivus or Argeus or Argius) –a –um,Argive; Greek,Argus,Adjective,19,1.24
necdum,nor yet,necdum,Adverb,9,1.25
etiam,also,etiam,Adverb,41,1.25
dolor doloris m.,"pain, grief",dolor,Noun,40,1.25
excido excidere excidi,"to fall out, drop; perish; be forgotten",excido,Verb,6,1.26
maneo manere mansi mansus,to remain,maneo,Verb,44,1.26
mens mentis f.,mind,mens,Noun,67,1.26
repono reponere reposui repositus,to put back,repono,Verb,16,1.26
iudicium iudici(i) n.,decision; trial,iudicium,Noun,1,1.27
Paris –idis m.,Paris,Paris,Noun,9,1.27
sperno spernere sprevi spretum,to reject,sperno,Verb,3,1.27
iniuria iniuriae f.,"injustice, wrong",iniuria,Noun,6,1.27
forma formae f.,shape; beauty,forma,Noun,25,1.27
invisus –a –um,"hated, hostile",invisus,Adjective,14,1.28
rapio rapere rapui raptus,"to seize, carry off",rapio,Verb,58,1.28
Ganymedes –is m.,Ganymede,Ganymedes,Noun,1,1.28
honor or honos honoris m. ,honor; office,honor,Noun,61,1.28
accendo accendere accendi accensus,"to kindle, set on fire",accendo,Verb,25,1.29
super,over (adv. and prep. +acc.),super,Preposition,74,1.29
aequor aequoris n.,level surface; sea; plain,aequor,Noun,89,1.29
totus –a –um,whole,totus,Adjective,103,1.29
Troes –um m. pl.,Trojans,Troes,Noun,27,1.30
reliquiae –arum f. pl.,remains,reliquiae,Noun,9,1.30
Danai –orum m.,"Danai, Greeks",Danai,Noun,45,1.30
immitis –e,"hard, harsh, cruel",immitis,Adjective,2,1.30
Achilles –is m. or Achilleos –ei m.,Achilles (name),Achilles,Noun,22,1.30
arceo arcere arcui,"to shut in, shut up",arceo,Verb,9,1.31
per,through,per,Preposition,351,1.31
annus anni m.,year,annus,Noun,37,1.31
erro errare erravi erratus,"to wander, err",erro,Verb,32,1.32
ago agere egi actus,"to drive, do, act, concern oneself with",ago,Verb,102,1.32
mare maris n.,sea,mare,Noun,61,1.32
circum or circa,around,circum,Preposition,74,1.32
moles molis f.,large/shapeless mass; rock,moles,Noun,30,1.33
Romanus –a –um,Roman,Romanus,Adjective,22,1.33
vix,scarcely,vix,Adverb,39,1.34
e ex,"out of, from",e,Preposition,131,1.34
conspectus conspectus m.,"look, sight, view",conspectus,Noun,9,1.34
Siculus –a –um,pertaining to the Sicani; Sicilian,Siculus,Adjective,7,1.34
tellus telluris f.,earth,tellus,Noun,51,1.34
in,"in, on",in,Preposition,769,1.34
velum veli n.,"sail, awning",velum,Noun,32,1.35
do dare dedi datus,to give,do,Verb,317,1.35
laetus –a –um,happy,laetus,Adjective,78,1.35
spuma –ae f.,froth,spuma,Noun,5,1.35
sal salis m.,"salt, wit",sal,Noun,7,1.35
aes aeris n.,"copper, bronze; money",aes,Noun,30,1.35
ruo ruere rui rutum,to rush,ruo,Verb,70,1.35
cum,when; since; although,cum,Conjunction,164,1.36
aeternus –a –um,"everlasting, eternal",aeternus,Adjective,20,1.36
servo servare servavi servatus,to save,servo,Verb,56,1.36
sub,under,sub,Preposition,160,1.36
pectus pectoris n.,"chest, breast; heart",pectus,Noun,120,1.36
vulnus vulneris n.,wound,vulnus,Noun,70,1.36
sui sibi se se,"himself, herself, itself (reflexive)",sui,Pronoun,303,1.37
cum,with (prep. +abl.),cum,Preposition,139,1.37
inceptum –i n.,beginning; deliberation,inceptum,Noun,9,1.37
desisto desistere destiti destitus,"to cease, desist",desisto,Verb,3,1.37
vinco vincere vici victus,to conquer,vinco,Verb,59,1.37
nec,nor; and not,nec,Conjunction,331,1.38
possum posse potui,to be able,possum,Verb,95,1.38
Teucrus (Teucer) –a –um,"of Teucer, Trojan",Teucrus,Adjective,130,1.38
averto avertere averti aversus,to turn away,averto,Verb,22,1.38
quippe,indeed,quippe,Adverb,5,1.39
veto (voto) vetare vetui vetitus,to forbid,veto,Verb,10,1.39
Pallas –adis f.,Pallas,Pallas,Noun,10,1.39
exuro –ere –ussi –ustus,to burn out,exuro,Verb,8,1.39
classis classis f.,"division, fleet",classis,Noun,62,1.39
ipse ipsa ipsum,"himself, herself, itself (intensive)",ipse,Pronoun,289,1.40
summergo –ere –mersi –mersus,to plunge beneath; submerge,summergo,Verb,4,1.40
pontus ponti m.,the open sea,pontus,Noun,30,1.40
noxa noxae f.,"harm, injury",noxa,Noun,1,1.41
furiae –arum f.,rage,furiae,Noun,10,1.41
Aiax –acis m.,Ajax,Aiax,Noun,2,1.41
Oileus –ei (–i) or –eos m.,Oileus,Oileus,Noun,1,1.41
Iuppiter Iovis m.,Jupiter,Iuppiter,Noun,86,1.42
rapidus –a –um,swift,rapidus,Adjective,27,1.42
iaculor –atus sum,to hurl the javelin; to dart; throw,iaculor,Verb,2,1.42
nubes nubis f.,cloud,nubes,Noun,43,1.42
ignis ignis m.,fire,ignis,Noun,91,1.42
disicio –ere –ieci –iectus,to throw,disicio,Verb,12,1.43
ratis ratis f.,raft,ratis,Noun,22,1.43
everto evertere everti eversus,"to overturn, overthrow",everto,Verb,8,1.43
ventus venti m.,wind,ventus,Noun,87,1.43
exspiro exspirare exspiravi exspiratus,to breathe out,exspiro,Verb,7,1.44
transfigo –ere –ui –itum,to transfix,transfigo,Verb,2,1.44
flamma flammae f.,flame,flamma,Noun,73,1.44
turbo (turben) turbinis m.,whirlwind,turbo,Noun,17,1.45
corripio corripere corripui correptum,"to seize, plunder; rebuke",corripio,Verb,31,1.45
scopulus –i m.,projecting ledge of rock; high cliff or rock,scopulus,Noun,27,1.45
infigo –ere –fixi –fixus,to fasten in or upon,infigo,Verb,9,1.45
acutus –a –um,"sharp, piercing",acutus,Adjective,10,1.45
divus (dius) divi m.,god,divus,Noun,69,1.46
incedo incedere incessi incessus,"to go, happen; proceed; walk (in a stately manner)",incedo,Verb,10,1.46
soror sororis f.,sister,soror,Noun,39,1.47
coniunx coniugis f.,spouse,coniunx,Noun,60,1.47
quisquam quicquam,"someone, anyone",quisquam,Pronoun,21,1.48
adoro adorare adoravi adoratus,"to pray to, venerate",adoro,Verb,4,1.48
praeterea,besides,praeterea,Adverb,20,1.49
aut; aut…aut,"or, either...or",aut,Conjunction,216,1.49
supplex supplicis,suppliant,supplex,Adjective,24,1.49
ara arae f.,altar,ara,Noun,71,1.49
impono imponere imposui impositus,"to put on, impose",impono,Verb,25,1.49
talis tale,such,talis,Pronoun,148,1.50
flammo flammare flammavi flammatus,to set on fire,flammo,Verb,2,1.50
cor cordis n.,heart,cor,Noun,33,1.50
voluto volutare volutavi volutatus,to roll about; to roll back,voluto,Verb,10,1.50
nimbus –i m.,"rain–cloud, cloud–burst, downpour",nimbus,Noun,24,1.51
patria patriae f.,country,patria,Noun,42,1.51
locus loci m. or loca locorum n. pl.,"place, region",locus,Noun,85,1.51
fetus –a –um,pregnant,fetus,Adjective,3,1.51
furo furere,"to rage, be mad",furo,Verb,51,1.51
Auster –tri m.,the southerly or south wind,Auster,Noun,13,1.51
Aeolia –ae f.,Aeolia,Aeolia,Noun,2,1.52
vastus –a –um,empty; vast,vastus,Adjective,46,1.52
Aeolus –i m.,Aeolus,Aeolus,Noun,6,1.52
antrum –i n.,cave,antrum,Noun,24,1.52
luctor –ari,"to wrestle, struggle, strive",luctor,Verb,8,1.53
tempestas tempestatis f.,season; storm,tempestas,Noun,15,1.53
sonorus –a –um,loud–sounding,sonorus,Adjective,3,1.53
imperium imperii n.,"command, power",imperium,Noun,40,1.54
premo premere pressi pressus,to press,premo,Verb,54,1.54
ac,and in addition,ac,Conjunction,112,1.54
vinculum vinculi n.,bond,vinculum,Noun,22,1.54
carcer carceris m.,jail,carcer,Noun,4,1.54
freno frenare frenavi frenatus,to bridle,freno,Verb,3,1.54
indignor –atus sum,to deem unworthy; to fret,indignor,Verb,10,1.55
magnus –a –um,great,magnus,Adjective,282,1.55
murmur murmuris n.,"rumble, roar; murmur",murmur,Noun,13,1.55
mons montis m.,mountain,mons,Noun,65,1.55
claustrum –i n.,"bolt, bar",claustrum,Noun,6,1.56
fremo fremere fremui,to roar,fremo,Verb,35,1.56
celsus –a –um,"high, lofty",celsus,Adjective,23,1.56
sedeo sedere sedi sessus,to sit,sedeo,Verb,37,1.56
sceptrum –i n.,royal staff; scepter,sceptrum,Noun,18,1.57
mollio mollire mollivi mollitus,"to soften, soothe",mollio,Verb,1,1.57
tempero temperare temperavi temperatus,to moderate,tempero,Verb,3,1.57
nisi or ni,if...not; unless,nisi,Conjunction,21,1.58
facio facere feci factus,"to do, make",facio,Verb,55,1.58
caelum caeli n.,"sky, heaven",caelum,Noun,142,1.58
profundus –a –um,deep,profundus,Adjective,6,1.58
verro verrere verri versum,to sweep,verro,Verb,7,1.59
aura aurae f.,breeze,aura,Noun,85,1.59
omnipotens –entis,all–powerful,omnipotens,Adjective,22,1.60
spelunca speluncae f.,cave,spelunca,Noun,12,1.60
abdo abdere abdidi abditum,to withdraw; conceal,abdo,Verb,6,1.60
ater atra atrum,black,ater,Adjective,71,1.60
insuper,"above, overhead",insuper,Adverb,6,1.61
foedus foederis n.,"contract, treaty",foedus,Noun,42,1.62
certus –a –um,"sure, fixed",certus,Adjective,29,1.62
laxus –a –um,"wide, loose, spacious; not drawn tight; (of bows) unstrung",laxus,Adjective,4,1.63
scio scire scivi/scii scitus,to know,scio,Verb,13,1.63
iubeo iubere iussi iussus,to order,iubeo,Verb,70,1.63
habena –ae f.,rein,habena,Noun,20,1.63
vox vocis f.,voice,vox,Noun,113,1.64
utor uti usus sum,to use,utor,Verb,5,1.64
namque,for in fact,namque,Conjunction,42,1.65
tu tui tibi te te,you,tu,Pronoun,419,1.65
homo hominis m.,"human being, man",homo,Noun,34,1.65
mulceo –ere mulsi mulsus (mulctus),to stroke; lick,mulceo,Verb,7,1.66
fluctus fluctus m.,flood,fluctus,Noun,44,1.66
tollo tollere sustuli sublatus,to raise; destroy,tollo,Verb,69,1.66
inimicus –a –um,"unfriendly, hostile",inimicus,Adjective,26,1.67
Tyrrhenus –a –um,Tyrrhenian; Etruscan; Tuscan,Tyrrhenus,Adjective,32,1.67
navigo navigare navigavi navigatus,"to sail, navigate",navigo,Verb,2,1.67
Ilium –ii n.,"Ilium, Troy",Ilium,Noun,9,1.68
porto portare portavi portatus,to carry a load,porto,Verb,19,1.68
Penates –ium m.,"Penates, household gods",Penates,Noun,24,1.68
incutio –ere –cussi –cussus,to strike into or upon; add,incutio,Verb,1,1.69
obruo obruere obrui obrutum,to cover,obruo,Verb,8,1.69
puppis puppis f.,stern of a ship,puppis,Noun,43,1.69
diversus –a –um (or divorsus),"different, diverse",diversus,Adjective,27,1.70
corpus corporis n.,body,corpus,Noun,126,1.70
bis,twice,bis,Number,31,1.71
septem; septimus –a –um,7; 7th,septem,Number,14,1.71
praestans –ntis,outstanding,praestans,Adjective,9,1.71
nympha –ae (nymphe –es) f.,bride; nymph,nympha,Noun,23,1.71
pulcher pulchra pulchrum,beautiful,pulcher,Adjective,44,1.72
Deiopea –ae f.,Deiopea,Deiopea,Noun,1,1.72
conubium –ii n. ,marriage,conubium,Noun,14,1.73
iungo iungere iunxi iunctus,to join,iungo,Verb,36,1.73
stabilis –e,"steadfast, permanent",stabilis,Adjective,2,1.73
proprius –a –um,one's own,proprius,Adjective,8,1.73
dico dicare dicavi dicatus,to devote,dico,Verb,3,1.73
meritum meriti n.,"punishment, reward",meritum,Noun,4,1.74
exigo exigere exegi exactus,"to drive out; collect; achieve, complete",exigo,Verb,10,1.75
proles prolis f.,descendants,proles,Noun,24,1.75
parens parentis m. or f.,parent,parens,Noun,67,1.75
tuus –a –um,your,tuus,Adjective,115,1.76
o,O,o,Interjection,108,1.76
opto optare optavi optatus,to desire; choose,opto,Verb,25,1.76
exploro explorare exploravi exploratus,"to explore, investigate",exploro,Verb,5,1.77
iussum iussi n.,"command, order",iussum,Noun,22,1.77
capesso capessere capessii/capessivi capessitus,to seize,capesso,Verb,8,1.77
fas n.,right (indeclinable),fas,Noun,21,1.77
quicumque quaecumque quodcumque,whoever,quicumque,Pronoun,27,1.78
concilio conciliare conciliavi conciliatus,"to advise, reconcile",concilio,Verb,2,1.79
epulae epularum (f. pl.),"banquet, feast",epulae,Noun,11,1.79
accumbo –cumbere –cubui –cubitum,to lie down,accumbo,Verb,1,1.79
potens,powerful,potens,Adjective,19,1.80
ubi,"where, when",ubi,Adverb,108,1.81
dico dicere dixi dictus,"to say, speak",dico,Verb,149,1.81
cavus –a –um,hollow,cavus,Adjective,34,1.81
converto –ere –verti,"to turn round, cause to turn, turn back",converto,Verb,24,1.81
cuspis –idis f.,"sharp point, spear",cuspis,Noun,12,1.81
latus lateris n.,"side, flank, strength",latus,Noun,36,1.82
velut or veluti,just as,velut,Adverb,29,1.82
agmen agminis n.,line of march,agmen,Noun,98,1.82
qua,where; how; anyhow; anywhere,qua,Adverb,42,1.83
porta portae f.,gate,porta,Noun,60,1.83
perflo perflare perflavi perflatus,to blew through or over; sweep over,perflo,Verb,1,1.83
incumbo –ere –cubui –cubitus,to lean or recline upon (w. dat.); bear down on (in a military or sexual sense),incumbo,Verb,20,1.84
sedes sedis f.,seat,sedes,Noun,62,1.84
inferus –a –um,"low, vile; subst. inhabitant of the underworld",inferus,Adjective,46,1.84
una,together,una,Adverb,24,1.85
Eurus –i m.,Southwest wind,Eurus,Noun,8,1.85
Notus –i m.,the south wind,Notus,Noun,12,1.85
creber crebra crebrum,"thick, crowded, close",creber,Adjective,14,1.85
procella –ae f.,gale,procella,Noun,5,1.85
Africus –a –um,African,Africus,Adjective,1,1.86
insequor insequi insecutus sum,"to follow after, pursue",insequor,Verb,14,1.87
clamor clamoris m.,"outcry, shout",clamor,Noun,66,1.87
stridor –oris m.,harsh,stridor,Noun,7,1.87
rudens –entis m.,rope; cord; pl.,rudens,Noun,5,1.87
eripio eripere eripui ereptus,"to tear away, snatch away",eripio,Verb,46,1.88
subito,suddenly,subito,Adverb,24,1.88
dies diei m. or f.,day,dies,Noun,61,1.88
oculus oculi m.,eye,oculus,Noun,88,1.89
nox noctis f.,night,nox,Noun,97,1.89
incubo incubare incubui incubitus,to lie,incubo,Verb,3,1.89
intono intonare intonui,to thunder forth,intono,Verb,8,1.90
polus –i m.,"pole, heavens",polus,Noun,10,1.90
mico micare micui,"to move quickly to and fro, vibrate",mico,Verb,11,1.90
aether aetheris n.,upper air,aether,Noun,52,1.90
praesens –ntis,present,praesens,Adjective,10,1.91
intento intentare intentavi intentatus,to stretch,intento,Verb,2,1.91
mors mortis f.,death,mors,Noun,71,1.91
extemplo,immediately,extemplo,Adverb,14,1.92
Aeneas –ae m.,Aeneas,Aeneas,Noun,238,1.92
solvo solvere solvi solutus,"to release, pay",solvo,Verb,38,1.92
frigus frigoris n.,cold,frigus,Noun,5,1.92
membrum membri n.,limb,membrum,Noun,31,1.92
ingemo –ere –ui –itus,to sigh or groan,ingemo,Verb,7,1.93
duplex –icis,double,duplex,Number,10,1.93
sidus sideris n.,star,sidus,Noun,57,1.93
palma palmae f.,"hand, palm",palma,Noun,28,1.93
refero referre rettuli relatus,to bring back,refero,Verb,64,1.94
ter,3 times,ter,Number,38,1.94
quater,4 times,quater,Number,5,1.94
beatus –a –um,"happy, blessed",beatus,Adjective,2,1.94
ante,"before, in front of (adv. and prep. +acc.)",ante,Preposition,102,1.95
os oris n.,"mouth, face",os,Noun,142,1.95
contingo contingere contigi contactus,to touch,contingo,Verb,14,1.96
oppeto –ere –petivi (–petii) –petitus,to encounter; perish,oppeto,Verb,5,1.96
fortis forte,brave; strong,fortis,Adjective,41,1.96
T?dides –ae m.,the son of Tydeus; Diomedes,Tydides,Noun,7,1.97
Iliacus –a –um,belonging to Ilium; Ilian; Trojan,Iliacus,Adjective,24,1.97
occumbo –ere –cubui –cubitus,to sink,occumbo,Verb,4,1.97
campus campi m.,plain,campus,Noun,78,1.97
non,not,non,Adverb,259,1.98
anima animae f.,"breath, spirit",anima,Noun,50,1.98
effundo effundere effudi effusus,to pour out,effundo,Verb,35,1.98
dextera dextera f.,right hand,dextera,Noun,111,1.98
Aeacides –ae m.,a son or descendant of Aeacus,Aeacides,Noun,4,1.99
telum teli n.,spear; missile weapon,telum,Noun,147,1.99
iaceo iacere iacui,to lie,iaceo,Verb,36,1.99
Hector –oris m.,Hector,Hector,Noun,16,1.99
ingens ingentis,huge,ingens,Adjective,168,1.99
Sarpedon –onis m.,Sarpedon,Sarpedon,Noun,4,1.100
Simois –oentis m.,Simois,Simois,Noun,9,1.100
unda undae f.,wave,unda,Noun,109,1.100
scutum scuti n.,shield,scutum,Noun,13,1.101
galea geleae f.,helmet,galea,Noun,32,1.101
strideo stridere or strido stridere stridi,to produce a grating or shrill sound; to creak,strideo,Verb,21,1.102
Aquilo –onis m.,Aquilo,Aquilo,Noun,6,1.102
adversus –a –um,opposed; opposite; towards,adversus,Adjective,50,1.103
ferio ferire,to hit,ferio,Verb,20,1.103
frango frangere fregi fractus,"to break, shatter",frango,Verb,18,1.104
remus remi m.,oar,remus,Noun,35,1.104
prora –ae f.,the extreme forward part of a ship; the prow,prora,Noun,15,1.104
cumulus –i m.,heap; flood,cumulus,Noun,2,1.105
praerumpo praerumpere –rupi –ruptus,to burst or break off in front; p.,praerumpo,Verb,1,1.105
aqua aquae f.,water,aqua,Noun,19,1.105
superus –a –um,above,superus,Adjective,113,1.106
pendeo pendere pependi,to hang,pendeo,Verb,28,1.106
dehisco –ere –hivi,to gape,dehisco,Verb,7,1.106
inter,"between, among; during",inter,Preposition,116,1.107
aperio aperire aperui apertus,to open,aperio,Verb,34,1.107
aestus aestus m.,"heat; wave, tide",aestus,Noun,16,1.107
arena (harena) –ae f.,"sand, arena",arena,Noun,25,1.107
tres tria,3,tres,Number,20,1.108
abripio abripere abripui abreptus,to take away violently,abripio,Verb,2,1.108
saxum saxi n.,"rock, boulder, stone",saxum,Noun,78,1.108
lateo latere latui,"to lie hidden, be hidden",lateo,Verb,17,1.108
torqueo torquere torsi tortum,to twist,torqueo,Verb,43,1.108
voco vocare vocavi vocatus,to call,voco,Verb,110,1.109
Italus (Italicus) –a –um,Italian,Italus,Adjective,43,1.109
medius –a –um,"middle, in the middle, in half",medius,Adjective,164,1.109
Ara –ae f.,"Aras (""the Altars"")",Ara,Noun,1,1.109
dorsum –i n.,the back,dorsum,Noun,5,1.110
immanis immane,"huge, monstrous",immanis,Adjective,47,1.110
brevis breve,"short, brief",brevis,Adjective,14,1.111
syrtis –is f.,sand–bank or shoal in the sea; esp.,syrtis,Noun,3,1.111
urgeo urgere ursi,to press,urgeo,Verb,23,1.111
miserabilis –e,"deplorable, deserving to be pitied",miserabilis,Adjective,4,1.111
video videre vidi visus,to see,video,Verb,214,1.111
inlido –ere –lisi –lisus,to dash upon,inlido,Verb,5,1.112
vadum –i n.,ford; shallow,vadum,Noun,20,1.112
agger aggeris m.,"mound, rampart",agger,Noun,23,1.112
cingo cingere cinxi cinctus,to surround,cingo,Verb,35,1.112
Lycius –a –um,Lycian,Lycius,Adjective,8,1.113
