PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
surgo surgere surrexi surrectus,to rise,surgo,Verb,11,1.1.17
pagina –ae f.,page,pagina,Noun,1,1.1.17
primus –a –um,first,primus,Number,23,1.1.17
attenuo attenuare attenuavi attenuatus,to make thin; weaken,attenuo,Verb,1,1.1.18
nervus –i m.,muscle; string,nervus,Noun,3,1.1.18
prope propius proxime,near (prep. + acc.),prope,Preposition,6,1.1.18
meus –a –um,"my, mine",meus,Adjective,155,1.1.18
nec,nor; and not,nec,Conjunction,131,1.1.19
ego mei mihi me me,"I, me",ego,Pronoun,287,1.1.19
aptus –a –um,"fitted to, appropriate, fitting",aptus,Adjective,23,1.1.19
aut; aut…aut,"or, either...or",aut,Conjunction,35,1.1.20
longus –a –um,"long, far",longus,Adjective,34,1.1.20
como comere compsi comptus,"to arrange, adorn",como,Verb,2,1.1.20
puella puellae f.,girl,puella,Noun,71,1.1.20
coma comae f.,hair,coma,Noun,26,1.1.20
queror queri questus sum,to complain,queror,Verb,11,1.1.21
pharetra –ae f.,quiver,pharetra,Noun,3,1.1.21
protinus or protenus,at once,protinus,Adverb,8,1.1.21
solvo solvere solvi solutus,"to release, pay",solvo,Verb,10,1.1.21
exitium existi(i) n.,"destruction, ruin",exitium,Noun,2,1.1.22
spiculum –i n.,"sharp point, sting, arrow",spiculum,Noun,1,1.1.22
facio facere feci factus,"to do, make",facio,Verb,72,1.1.22
luno lunare lunavi lunatus,to bend like a halfmoon,luno,Verb,1,1.1.23
genu (genus) genus n.,knee,genu,Noun,2,1.1.23
sinuosus –a –um,full of windings; sinuous,sinuosus,Adjective,1,1.1.23
fortis forte,brave; strong,fortis,Adjective,15,1.1.23
arcus arcus m.,"bow, arch",arcus,Noun,12,1.1.23
cano canere cecini cantus,to sing,cano,Verb,7,1.1.24
accipio accipere accepi acceptus,to receive,accipio,Verb,7,1.1.24
miser misera miserum,"wretched, pitiable",miser,Adjective,26,1.1.25
certus –a –um,"sure, fixed",certus,Adjective,10,1.1.25
habeo habere habui habitus,"to have, hold",habeo,Verb,69,1.1.25
sagitta sagittae f.,arrow,sagitta,Noun,4,1.1.25
uro urere ussi ustum,to burn,uro,Verb,11,1.1.26
et,and,et,Conjunction,311,1.1.26
vacuus –a –um,empty,vacuus,Adjective,11,1.1.26
pectus pectoris n.,"chest, breast; heart",pectus,Noun,26,1.1.26
amor amoris m.,love,amor,Noun,86,1.1.26
sex; sextus –a –um,6; 6th,sex,Number,1,1.1.27
resido –ere –sidere –sedi,"to sit down, sink down, shrink",resido,Verb,1,1.1.27
ferreus –a –um,made of iron,ferreus,Adjective,7,1.1.28
cum,with (prep. +abl.),cum,Preposition,49,1.1.28
vester vestra vestrum,your,vester,Adjective,13,1.1.28
valeo valere valui valitus,"to be strong, be worth",valeo,Verb,17,1.1.28
cingo cingere cinxi cinctus,to surround,cingo,Verb,5,1.1.29
litoreus –a –um,"littoral, of the seashore",litoreus,Adjective,1,1.1.29
flaveo –ere –––,to be yellow; p.,flaveo,Verb,2,1.1.29
tempus temporis n.,"the side of the forehead, temple",tempus,Noun,5,1.1.29
myrtus –i m./f.,myrtle,myrtus,Noun,3,1.1.29
Musa –ae f.,a Muse,Musa,Noun,6,1.1.30
per,through,per,Preposition,65,1.1.30
undenus –a –um,ten,undenus,Number,1,1.1.30
emodulor –ari,to measure out; put into meter,emodulor,Verb,1,1.1.30
quod,because,quod,Conjunction,23,1.2.1
tam,so,tam,Adverb,22,1.2.1
durus –a –um,"hard, harsh",durus,Adjective,26,1.2.1
video videre vidi visus,to see,video,Verb,62,1.2.1
stratum –i n.,"bedding, coverlet; (often in pl.) bed",stratum,Noun,1,1.2.2
neque or nec,and not; neither … nor …,neque,Conjunction,9,1.2.2
lectus lecti m.,"bed, couch",lectus,Noun,7,1.2.2
pallium palli(i) n.,"cloak, coverlet",pallium,Noun,4,1.2.2
noster nostra nostrum,"our, ours",noster,Adjective,54,1.2.2
sedeo sedere sedi sessus,to sit,sedeo,Verb,7,1.2.2
somnus somni m.,sleep,somnus,Noun,15,1.2.3
